,FOX,FOXA
2008-07-15,0.721639180409795,0.7341576506955177
2008-07-16,0.7251374312843577,0.7434312210200927
2008-07-17,0.7261369315342328,0.7434312210200927
2008-07-18,0.7196401799100449,0.7393096342091705
2008-07-21,0.7161419290354822,0.7320968572900567
2008-07-22,0.7201399300349824,0.7336424523441525
2008-07-23,0.7481259370314842,0.7614631633178773
2008-07-24,0.7451274362818591,0.7516743946419371
2008-07-25,0.7456271864067966,0.7511591962905718
2008-07-28,0.7086456771614192,0.7099433281813498
2008-07-29,0.7236381809095452,0.729005667181865
2008-07-30,0.7346326836581708,0.7351880473982483
2008-07-31,0.7301349325337331,0.7279752704791345
2008-08-01,0.7196401799100449,0.7192168985059249
2008-08-04,0.728135932033983,0.7253992787223081
2008-08-05,0.7621189405297351,0.7594023699124163
