,ITW,EFX
2008-07-15,0.8842829076620825,0.8989189189189188
2008-07-16,0.9145383104125736,0.9289189189189189
2008-07-17,0.9233791748526523,0.9454054054054053
2008-07-18,0.9180746561886051,0.9464864864864866
2008-07-21,0.9202357563850688,0.954054054054054
2008-07-22,0.937328094302554,0.9375675675675675
2008-07-23,0.9396856581532417,0.9437837837837838
2008-07-24,0.9047151277013752,0.9162162162162162
2008-07-25,0.912770137524558,0.9178378378378379
2008-07-28,0.9033398821218074,0.9172972972972973
2008-07-29,0.9212180746561887,0.9391891891891891
2008-07-30,0.9388998035363458,0.9524324324324325
2008-07-31,0.9204322200392928,0.9483783783783785
2008-08-01,0.9198428290766208,0.9556756756756757
2008-08-04,0.9180746561886051,0.9456756756756757
2008-08-05,0.9390962671905697,0.9656756756756756
