,STX,FOR
2008-07-15,0.826564739608218,0.7574642126789366
2008-07-16,0.6985188724319159,0.7783231083844582
2008-07-17,0.7314859053989489,0.7501022494887526
2008-07-18,0.7095078834209269,0.7537832310838446
2008-07-21,0.7138079311992356,0.7615541922290389
2008-07-22,0.6903965599617773,0.7803680981595091
2008-07-23,0.7233635929288104,0.772597137014315
2008-07-24,0.7099856665074056,0.72719836400818
2008-07-25,0.7152412804586719,0.7541922290388549
2008-07-28,0.7157190635451506,0.7034764826175869
2008-07-29,0.7214524605828954,0.7378323108384458
2008-07-30,0.7152412804586719,0.7464212678936606
2008-07-31,0.7152412804586719,0.7394683026584866
2008-08-01,0.7181079789775442,0.779959100204499
2008-08-04,0.7061634018155757,0.7447852760736197
2008-08-05,0.7037744863831821,0.7586912065439674
