,LNDC,NWBI
2008-07-14,0.7365648050579557,0.7196391394864676
2008-07-15,0.7492096944151739,0.7092297015961139
2008-07-16,0.768177028451001,0.765440666204025
2008-07-17,0.78609062170706,0.7921582234559333
2008-07-18,0.8198103266596417,0.7862595419847328
2008-07-21,0.8208640674394099,0.8032616238723108
2008-07-22,0.8630136986301369,0.8622484385843164
2008-07-23,0.8798735511064277,0.8639833448993753
2008-07-24,0.8630136986301369,0.8466342817487855
2008-07-25,0.892518440463646,0.8792505204718946
2008-07-28,0.8988408851422549,0.8684941013185288
2008-07-29,0.9199157007376185,0.8934767522553781
2008-07-30,0.9378292939936775,0.8986814712005551
2008-07-31,0.9357218124341412,0.9004163775156141
2008-08-01,0.9009483667017915,0.9240111034004164
2008-08-04,0.8524762908324551,0.9101318528799445
2008-08-05,0.8619599578503687,0.9430950728660652
