,SRCL,ABT
2008-07-14,0.9208828522920204,0.9768896611642051
2008-07-15,0.9288624787775892,1.005212858384014
2008-07-16,0.9458404074702886,0.9899218071242398
2008-07-17,0.9589134125636672,0.9991311902693311
2008-07-18,0.9774193548387097,1.0005212858384014
2008-07-21,0.9809847198641766,0.9866203301476977
2008-07-22,1.0212224108658743,1.0024326672458732
2008-07-23,1.0135823429541597,0.9902693310165075
2008-07-24,0.9991511035653651,0.9897480451781061
2008-07-25,1.034634974533107,0.9977410947002607
2008-07-28,1.0246179966044142,0.9767158992180713
2008-07-29,1.030390492359932,0.9720243266724587
2008-07-30,1.0234295415959254,0.9878366637706343
2008-07-31,1.0144312393887946,0.9789748045178107
2008-08-01,1.0073005093378609,0.9742832319721981
2008-08-04,1.006960950764007,0.9949609035621199
2008-08-05,1.0084889643463497,1.0201563857515206
