,RTN,MMM
2008-07-15,0.8571644726887577,0.8335180396502894
2008-07-16,0.845513693448328,0.8452161063908387
2008-07-17,0.8391587229535482,0.8551902475064648
2008-07-18,0.8499016492661522,0.8489102327299594
2008-07-21,0.8638220608261462,0.846324344292575
2008-07-22,0.8589801785444091,0.8656569388006403
2008-07-23,0.8694204872144046,0.8718138160325083
2008-07-24,0.8618550461491905,0.8748922546484423
2008-07-25,0.8657890755031018,0.8736608792020688
2008-07-28,0.8591314873657134,0.8574067233099372
2008-07-29,0.8750189136026629,0.8679965521487502
2008-07-30,0.8766833106370101,0.8779706932643764
2008-07-31,0.8614011196852775,0.8667651767023766
2008-08-01,0.8527765168709335,0.86380987563108
2008-08-04,0.8727492812830988,0.8588843738455856
2008-08-05,0.8909063398396126,0.8851126708533432
