,WBS,STI
2008-07-15,0.39855072463768115,0.39484852919654617
2008-07-16,0.4411594202898551,0.4658276013464071
2008-07-17,0.4997101449275362,0.5060734669983902
2008-07-18,0.5060869565217392,0.5078296502268403
2008-07-21,0.510144927536232,0.4996341284940729
2008-07-22,0.5330434782608696,0.5804185570027806
2008-07-23,0.5373913043478261,0.6323723108444315
2008-07-24,0.5365217391304349,0.5748573101126885
2008-07-25,0.5336231884057971,0.5608078442850871
2008-07-28,0.5284057971014493,0.5337333528464803
2008-07-29,0.5718840579710145,0.5887604273379189
2008-07-30,0.5857971014492754,0.5990048295038782
2008-07-31,0.5756521739130435,0.6009073613346994
2008-08-01,0.596231884057971,0.6148104785599298
2008-08-04,0.6,0.6266647153519684
2008-08-05,0.6388405797101449,0.6629591687399385
2008-08-06,0.6501449275362319,0.6579833162593297
2008-08-07,0.6307246376811595,0.624176789111664
2008-08-08,0.6727536231884058,0.6484706571052247
2008-08-11,0.6991304347826087,0.6770086345675399
2008-08-12,0.6849275362318841,0.6276891555685643
2008-08-13,0.6368115942028986,0.5842236206644227
2008-08-14,0.6533333333333333,0.6167130103907508
2008-08-15,0.6582608695652175,0.6287135957851603
2008-08-18,0.6373913043478261,0.6082247914532417
2008-08-19,0.6115942028985508,0.5742719157032051
2008-08-20,0.6069565217391305,0.5924191423971901
2008-08-21,0.596231884057971,0.5902239133616274
2008-08-22,0.6055072463768116,0.6250548807258891
2008-08-25,0.5913043478260869,0.5875896385189522
2008-08-26,0.5994202898550725,0.5726620810771258
2008-08-27,0.6086956521739131,0.5855407580857602
2008-08-28,0.6307246376811595,0.6069076540319039
2008-08-29,0.6179710144927536,0.6130542953314796
2008-09-02,0.6431884057971015,0.6374945119274111
2008-09-03,0.6666666666666666,0.6585687106688132
2008-09-04,0.6443478260869565,0.6374945119274111
2008-09-05,0.662608695652174,0.6647153519683887
2008-09-08,0.7144927536231883,0.7453534318747256
2008-09-09,0.6782608695652174,0.6963266500804918
2008-09-10,0.635072463768116,0.6622274257280844
2008-09-11,0.6466666666666666,0.6724718278940437
2008-09-12,0.671304347826087,0.6923752378164789
2008-09-15,0.6420289855072463,0.6717400848821894
2008-09-16,0.6843478260869565,0.7166691058100395
2008-09-17,0.6278260869565218,0.6970583930923461
2008-09-18,0.6663768115942028,0.8056490560515147
2008-09-19,0.8115942028985508,0.8663837260354165
2008-09-22,0.7478260869565218,0.7885262695741256
2008-09-23,0.7536231884057971,0.748865798331626
2008-09-24,0.755072463768116,0.7365725157324747
2008-09-25,0.7591304347826088,0.7280842967949657
2008-09-26,0.7342028985507246,0.7387677447680374
2008-09-29,0.6394202898550724,0.6172984048002341
2008-09-30,0.7318840579710145,0.6584223620664423
2008-10-01,0.7330434782608696,0.7178398946290062
2008-10-02,0.717391304347826,0.748865798331626
2008-10-03,0.7171014492753622,0.7993560661495682
2008-10-06,0.5971014492753624,0.7280842967949657
2008-10-07,0.5791304347826087,0.6717400848821894
2008-10-08,0.5640579710144927,0.6110054148982877
2008-10-09,0.49333333333333335,0.5085613932386945
2008-10-10,0.5304347826086957,0.5327089126298844
2008-10-13,0.5617391304347826,0.5388555539294599
2008-10-14,0.5776811594202899,0.6535928581882042
2008-10-15,0.5281159420289855,0.6439338504317283
2008-10-16,0.5568115942028986,0.6531538123810918
2008-10-17,0.5431884057971014,0.6129079467291088
2008-10-20,0.5611594202898551,0.6120298551148837
2008-10-21,0.533913043478261,0.6092492316698376
2008-10-22,0.5173913043478261,0.5872969413142105
2008-10-23,0.49681159420289855,0.5297819405824675
2008-10-24,0.48637681159420293,0.513829942924045
2008-10-27,0.46202898550724636,0.5171959607785747
2008-10-28,0.4994202898550725,0.5845163178691644
2008-10-29,0.49710144927536226,0.5643202107419875
2008-10-30,0.5147826086956522,0.5546612029855115
2008-10-31,0.5373913043478261,0.5874432899165813
2008-11-03,0.5591304347826087,0.5891994731450314
2008-11-04,0.576231884057971,0.6304697790136105
2008-11-05,0.5307246376811594,0.5845163178691644
2008-11-06,0.49130434782608695,0.5411971315673935
2008-11-07,0.4855072463768116,0.5660763939704376
2008-11-10,0.4739130434782609,0.5492463046977901
2008-11-11,0.46550724637681157,0.5291965461729841
2008-11-12,0.43768115942028984,0.4978779452656228
2008-11-13,0.4739130434782609,0.5220254646568125
2008-11-14,0.44753623188405794,0.4905605151470804
2008-11-17,0.43681159420289856,0.46187618908239425
2008-11-18,0.4336231884057971,0.455436850578077
2008-11-19,0.38782608695652177,0.41402019610712715
2008-11-20,0.33594202898550724,0.36016391043465534
2008-11-21,0.3391304347826087,0.32855261232255234
2008-11-24,0.37333333333333335,0.4143128933118689
2008-11-25,0.3852173913043478,0.4336309088248207
2008-11-26,0.41449275362318844,0.4428508707741841
2008-11-28,0.43478260869565216,0.46436411532269867
2008-12-01,0.3527536231884058,0.36835943216742284
2008-12-02,0.3863768115942029,0.3974828040392214
2008-12-03,0.3971014492753623,0.4191423971901069
2008-12-04,0.4017391304347826,0.4365578808722377
2008-12-05,0.4182608695652174,0.47051075662227426
2008-12-08,0.4255072463768116,0.49407288160398066
2008-12-09,0.4066666666666666,0.43963120152202545
2008-12-10,0.3930434782608696,0.4153373335284648
2008-12-11,0.3617391304347826,0.397921849846334
2008-12-12,0.383768115942029,0.40245865651983026
2008-12-15,0.372463768115942,0.39353139177520857
2008-12-16,0.3773913043478261,0.4390458071125421
2008-12-17,0.3785507246376812,0.42982584516317873
2008-12-18,0.363768115942029,0.4248499926825699
2008-12-19,0.363768115942029,0.4271915703205035
2008-12-22,0.3539130434782609,0.41475193911898145
2008-12-23,0.3460869565217391,0.3982145470510757
2008-12-24,0.3527536231884058,0.40699546319332647
2008-12-26,0.367536231884058,0.4050929313625055
2008-12-29,0.35884057971014494,0.4064100687838431
2008-12-30,0.37681159420289856,0.4223620664422655
2008-12-31,0.39942028985507244,0.4323137714034831
