,WST,MKC
2008-07-16,1.085620750440695,1.11288450377249
2008-07-17,1.1102996726265424,1.1331979106210097
2008-07-18,1.1072777637874591,1.126523505513639
2008-07-21,1.09921934021657,1.123911781775972
2008-07-22,1.1322085117098968,1.1392919326755657
2008-07-23,1.120624527826744,1.1404526987811954
2008-07-24,1.1538655250566607,1.1471271038885664
2008-07-25,1.151347267690758,1.1410330818340104
2008-07-28,1.1400151095441955,1.1424840394660476
2008-07-29,1.1601611684714177,1.1587347649448636
2008-07-30,1.1611684714177788,1.1883343006384215
2008-07-31,1.1563837824225636,1.16366802089379
2008-08-01,1.1629312515739108,1.1558328496807893
2008-08-04,1.1561319566859731,1.1775972141613464
2008-08-05,1.2890959456056408,1.1964596633778293
2008-08-06,1.212792747418786,1.217933836331979
