,GLT,BEN
2008-07-15,0.838943894389439,0.7783403656821378
2008-07-16,0.8501650165016502,0.8304735114861697
2008-07-17,0.8646864686468646,0.8699484294421003
2008-07-18,0.864026402640264,0.8690107829348336
2008-07-21,0.8884488448844885,0.8483825597749648
2008-07-22,0.9227722772277228,0.9129864041256446
2008-07-23,0.928052805280528,0.9372714486638536
2008-07-24,0.9227722772277228,0.8925457102672292
2008-07-25,0.9267326732673267,0.9016408813877167
2008-07-28,0.9221122112211221,0.8908579465541491
2008-07-29,0.9603960396039605,0.9321143928738864
2008-07-30,0.9729372937293729,0.9396155649320205
2008-07-31,0.965016501650165,0.9433661509610877
2008-08-01,0.9775577557755776,0.941209563994374
2008-08-04,0.9478547854785478,0.9424285044538209
2008-08-05,1.0303630363036302,0.9956868260665728
