,DVA,ABT
2008-07-14,0.990049751243781,0.9768896611642051
2008-07-15,0.988207112585222,1.005212858384014
2008-07-16,0.9852588907315275,0.9899218071242398
2008-07-17,0.9771512806338677,0.9991311902693311
2008-07-18,0.9791781831582826,1.0005212858384014
2008-07-21,0.9765984890363,0.9866203301476977
2008-07-22,0.9812050856826976,1.0024326672458732
2008-07-23,0.9767827529021558,0.9902693310165075
2008-07-24,0.9730974755850378,0.9897480451781061
2008-07-25,1.031140593329648,0.9977410947002607
2008-07-28,1.0361157177077573,0.9767158992180713
2008-07-29,1.0440390639395614,0.9720243266724587
2008-07-30,1.0318776487930716,0.9878366637706343
2008-07-31,1.029113690805233,0.9789748045178107
2008-08-01,1.0344573429150543,0.9742832319721981
2008-08-04,1.0298507462686566,0.9949609035621199
2008-08-05,1.0912106135986732,1.0201563857515206
