,SSS,LSI
2008-04-04,1.0726351351351353,1.0726351351351353
2008-04-07,1.064430501930502,1.064430501930502
2008-04-08,1.0576737451737452,1.0576737451737452
2008-04-09,1.0284749034749034,1.0284749034749034
2008-04-10,1.059604247104247,1.059604247104247
2008-04-11,1.031853281853282,1.031853281853282
2008-04-14,1.0306467181467183,1.0306467181467183
2008-04-15,1.0412644787644787,1.0412644787644787
2008-04-16,1.0743243243243246,1.0743243243243246
2008-04-17,1.0726351351351353,1.0726351351351353
2008-04-18,1.0912162162162162,1.0912162162162162
2008-04-21,1.0649131274131276,1.0649131274131276
2008-04-22,1.0610521235521235,1.0610521235521235
2008-04-23,1.071911196911197,1.071911196911197
2008-04-24,1.1112451737451738,1.1112451737451738
2008-04-25,1.115588803088803,1.115588803088803
2008-04-28,1.1100386100386102,1.1100386100386102
2008-04-29,1.0967664092664093,1.0967664092664093
2008-04-30,1.0786679536679538,1.0786679536679538
2008-05-01,1.0772200772200773,1.0772200772200773
2008-05-02,1.0834942084942085,1.0834942084942085
2008-05-05,1.0743243243243246,1.0743243243243246
2008-05-06,1.0786679536679538,1.0786679536679538
2008-05-07,1.0651544401544402,1.0651544401544402
2008-05-08,1.0552606177606176,1.0552606177606176
2008-05-09,1.0540540540540542,1.0540540540540542
2008-05-12,1.0723938223938223,1.0723938223938223
2008-05-13,1.093388030888031,1.093388030888031
2008-05-14,1.0736003861003862,1.0736003861003862
2008-05-15,1.097972972972973,1.097972972972973
2008-05-16,1.0827702702702702,1.0827702702702702
2008-05-19,1.0847007722007724,1.0847007722007724
2008-05-20,1.0714285714285714,1.0714285714285714
2008-05-21,1.0499517374517375,1.0499517374517375
2008-05-22,1.0448841698841698,1.0448841698841698
2008-05-23,1.0402992277992278,1.0402992277992278
2008-05-27,1.0617760617760619,1.0617760617760619
2008-05-28,1.0617760617760619,1.0617760617760619
2008-05-29,1.0697393822393824,1.0697393822393824
2008-05-30,1.0663610038610039,1.0663610038610039
2008-06-02,1.0400579150579152,1.0400579150579152
2008-06-03,1.0424710424710426,1.0424710424710426
2008-06-04,1.0646718146718146,1.0646718146718146
2008-06-05,1.089527027027027,1.089527027027027
2008-06-06,1.050434362934363,1.050434362934363
2008-06-09,1.0444015444015444,1.0444015444015444
2008-06-10,1.048503861003861,1.048503861003861
2008-06-11,1.03257722007722,1.03257722007722
2008-06-12,1.0395752895752897,1.0395752895752897
2008-06-13,1.057915057915058,1.057915057915058
2008-06-16,1.076496138996139,1.076496138996139
2008-06-17,1.0352316602316602,1.0352316602316602
2008-06-18,1.039092664092664,1.039092664092664
2008-06-19,1.0637065637065637,1.0637065637065637
2008-06-20,1.058880308880309,1.058880308880309
2008-06-23,1.0311293436293436,1.0311293436293436
2008-06-24,1.0275096525096525,1.0275096525096525
2008-06-25,1.0460907335907337,1.0460907335907337
2008-06-26,1.0282335907335909,1.0282335907335909
2008-06-27,1.0142374517374517,1.0142374517374517
2008-06-30,1.002895752895753,1.002895752895753
2008-07-01,1.0016891891891893,1.0016891891891893
2008-07-02,0.9662162162162162,0.9662162162162162
2008-07-03,0.946911196911197,0.946911196911197
2008-07-07,0.9206081081081081,0.9206081081081081
2008-07-08,0.9857625482625484,0.9857625482625484
2008-07-09,0.9319498069498069,0.9319498069498069
2008-07-10,0.938465250965251,0.938465250965251
2008-07-11,0.9519787644787646,0.9519787644787646
2008-07-14,0.9326737451737452,0.9326737451737452
2008-07-15,0.9295366795366796,0.9295366795366796
2008-07-16,0.9676640926640927,0.9676640926640927
2008-07-17,0.9864864864864866,0.9864864864864866
