"","X1","IVZ","BBY","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.634,0.852170916609235,"IVZ",0.181818181818182,0.54978354978355,0.0716081326595645,0.846094496003588
"46",2009-03-10,0.743333333333333,0.967263955892488,"IVZ",0.987012987012987,0.995670995670996,0.309694168017439,0.949190870392385
"47",2009-03-11,0.769333333333333,0.976223294279807,"IVZ",0.822510822510823,0.649350649350649,0.863947854420409,0.350957645768708
"48",2009-03-12,0.84,1.01654031702274,"IVZ",0.956709956709957,0.896103896103896,0.921589188423879,0.370738820514585
"49",2009-03-13,0.819333333333333,1.02308752584425,"IVZ",0.255411255411255,0.619047619047619,0.108294525440484,0.847882791441632
"50",2009-03-16,0.776666666666667,1.00447966919366,"IVZ",0.112554112554113,0.29004329004329,0.0903649864615724,0.683482391858322
"51",2009-03-17,0.832666666666667,1.0933838731909,"IVZ",0.913419913419913,0.982683982683983,0.187396621326626,0.980684578865554
"52",2009-03-18,0.882,1.12784286698828,"IVZ",0.9004329004329,0.852813852813853,0.817221894165253,0.535373566499831
"53",2009-03-19,0.798,1.15713301171606,"IVZ",0.0562770562770563,0.83982683982684,0.00160063820334926,0.995335426665918
"54",2009-03-20,0.823333333333333,1.11302549965541,"IVZ",0.80952380952381,0.108225108225108,0.986149647284949,0.00774993282178373
"55",2009-03-23,0.957333333333333,1.1750516884907,"IVZ",0.987012987012987,0.965367965367965,0.936661087829593,0.343978456290117
"56",2009-03-24,0.911333333333333,1.13714679531358,"IVZ",0.125541125541126,0.147186147186147,0.262644327047015,0.368296200434832
"57",2009-03-25,0.914666666666667,1.15299793246037,"IVZ",0.575757575757576,0.727272727272727,0.384330946386614,0.777105363325879
"58",2009-03-26,0.976666666666667,1.29807029634735,"IVZ",0.909090909090909,0.991341991341991,0.0891282173464967,0.995581069350704
"59",2009-03-27,0.986,1.31082012405238,"IVZ",0.636363636363636,0.658008658008658,0.559376843430753,0.617649317997469
"60",2009-03-30,0.869333333333333,1.27394900068918,"IVZ",0.025974025974026,0.19047619047619,0.0125172490732996,0.860006342373901
"61",2009-03-31,0.924,1.30806340454859,"IVZ",0.909090909090909,0.83982683982684,0.861020496698128,0.466107389041634
"62",2009-04-01,0.971333333333333,1.34286698828394,"IVZ",0.878787878787879,0.83982683982684,0.780844030011571,0.57434350272856
"63",2009-04-02,1.054,1.37422467263956,"IVZ",0.939393939393939,0.822510822510823,0.943231492495367,0.297629651398128
"64",2009-04-03,1.05866666666667,1.38731909028256,"IVZ",0.588744588744589,0.649350649350649,0.493015110533443,0.649671045021938
"65",2009-04-06,1.04266666666667,1.34458993797381,"IVZ",0.398268398268398,0.173160173160173,0.709828561514795,0.116418248774407
"66",2009-04-07,0.962,1.31392143349414,"IVZ",0.0735930735930736,0.238095238095238,0.0590657826718384,0.718580576630165
"67",2009-04-08,1.02266666666667,1.35940730530669,"IVZ",0.909090909090909,0.865800865800866,0.818579185791612,0.539333428795613
"68",2009-04-09,1.1,1.41592005513439,"IVZ",0.913419913419913,0.904761904761905,0.730121635526211,0.66038389672346
"69",2009-04-13,1.13333333333333,1.41454169538249,"IVZ",0.805194805194805,0.523809523809524,0.898577592028951,0.22866306466623
"70",2009-04-14,1.04333333333333,1.31288766368022,"IVZ",0.0735930735930736,0.0216450216450216,0.671948288596343,0.0501162637395468
"71",2009-04-15,1.09466666666667,1.30358373535493,"IVZ",0.874458874458874,0.441558441558442,0.967788235875125,0.0998315477317842
"72",2009-04-16,1.08666666666667,1.32770503101309,"IVZ",0.463203463203463,0.774891774891775,0.200710302383891,0.890452523623972
"73",2009-04-17,1.06533333333333,1.36147484493453,"IVZ",0.307359307359307,0.831168831168831,0.0614701151963711,0.964294401462889
"74",2009-04-20,0.961333333333333,1.33046175051688,"IVZ",0.0432900432900433,0.238095238095238,0.0220713811457363,0.827451958781105
"75",2009-04-21,1.05133333333333,1.3776705720193,"IVZ",0.956709956709957,0.874458874458874,0.944001487452413,0.30991705056919
"76",2009-04-22,1.03133333333333,1.36940041350793,"IVZ",0.316017316017316,0.458874458874459,0.266188266699296,0.616041716179476
"77",2009-04-23,1.044,1.36113025499655,"IVZ",0.658008658008658,0.458874458874459,0.762187446804741,0.2993560103543
"78",2009-04-24,0.978666666666667,1.35320468642316,"IVZ",0.0952380952380952,0.458874458874459,0.0290874340858393,0.875067854958505
"79",2009-04-27,0.932,1.31874569262578,"IVZ",0.125541125541126,0.203463203463203,0.17908350373821,0.500773628874556
"80",2009-04-28,0.906666666666667,1.3053066850448,"IVZ",0.238095238095238,0.398268398268398,0.201136568050537,0.620604209302345
"81",2009-04-29,0.992,1.29324603721571,"IVZ",0.956709956709957,0.415584415584416,0.996549336180531,0.0293590227830033
"82",2009-04-30,0.981333333333333,1.32253618194349,"IVZ",0.432900432900433,0.818181818181818,0.139366980401902,0.934747387207351
"83",2009-05-01,0.989333333333333,1.28187456926258,"IVZ",0.623376623376623,0.173160173160173,0.901439982801949,0.0491163034092574
"84",2009-05-04,1.068,1.39145416953825,"IVZ",0.930735930735931,0.982683982683983,0.234060188221183,0.970323407997432
"85",2009-05-05,1.07666666666667,1.40833907649897,"IVZ",0.623376623376623,0.701298701298701,0.487970879762743,0.700015222988176
"86",2009-05-06,1.108,1.36113025499655,"IVZ",0.805194805194805,0.134199134199134,0.981554724731796,0.0125080299663934
"87",2009-05-07,1.05733333333333,1.34527911784976,"IVZ",0.134199134199134,0.385281385281385,0.0776607608560984,0.755861815232506
"88",2009-05-08,1.116,1.30702963473467,"IVZ",0.896103896103896,0.19047619047619,0.992422173992226,0.0132617384678534
"89",2009-05-11,1.03933333333333,1.31495520330806,"IVZ",0.0779220779220779,0.601731601731602,0.01049843845279,0.952344810645539
"90",2009-05-12,1.018,1.27705031013094,"IVZ",0.294372294372294,0.186147186147186,0.540787194079226,0.201881346644206
"91",2009-05-13,0.968666666666667,1.21295658166782,"IVZ",0.125541125541126,0.0735930735930736,0.481541018402079,0.155021682298376
"92",2009-05-14,1.00266666666667,1.24500344589938,"IVZ",0.822510822510823,0.83982683982684,0.634835770320321,0.713689312629066
"93",2009-05-15,0.959333333333333,1.22019297036527,"IVZ",0.138528138528139,0.285714285714286,0.131365669912163,0.618684506649774
"94",2009-05-18,1.03866666666667,1.25292901447278,"IVZ",0.939393939393939,0.83982683982684,0.932081131138982,0.330643068990564
"95",2009-05-19,0.933333333333333,1.28359751895245,"IVZ",0.0432900432900433,0.822510822510823,0.00103187979836305,0.99569516829302
"96",2009-05-20,0.975333333333333,1.2474155754652,"IVZ",0.861471861471861,0.19047619047619,0.986398218523955,0.0179850104370105
"97",2009-05-21,0.966,1.21399035148174,"IVZ",0.432900432900433,0.199134199134199,0.715272406998306,0.130693906758269
"98",2009-05-22,0.978,1.21226740179187,"IVZ",0.658008658008658,0.506493506493506,0.729273375261251,0.362580508244093
"99",2009-05-26,1.034,1.27670572019297,"IVZ",0.896103896103896,0.948051948051948,0.432757861880104,0.891836971249994
"100",2009-05-27,0.976666666666667,1.21536871123363,"IVZ",0.103896103896104,0.0735930735930736,0.410357054782548,0.197434885477994
"101",2009-05-28,1.01533333333333,1.2039972432805,"IVZ",0.844155844155844,0.415584415584416,0.954721969087478,0.108730173564077
"102",2009-05-29,1.04333333333333,1.20951068228808,"IVZ",0.796536796536797,0.584415584415584,0.864121502163927,0.306646766950223
"103",2009-06-01,1.086,1.29669193659545,"IVZ",0.848484848484849,0.978354978354978,0.130003656896045,0.989776499184676
"104",2009-06-02,1.14466666666667,1.30634045485872,"IVZ",0.891774891774892,0.623376623376623,0.95210074814457,0.199022546780276
"105",2009-06-03,1.162,1.31013094417643,"IVZ",0.696969696969697,0.575757575757576,0.733205266399915,0.420091725459281
"106",2009-06-04,1.19,1.27601654031702,"IVZ",0.779220779220779,0.203463203463203,0.961902140632963,0.034596375583508
"107",2009-06-05,1.15866666666667,1.29014472777395,"IVZ",0.238095238095238,0.688311688311688,0.0724204305719906,0.907201381088265
"108",2009-06-08,1.17133333333333,1.33149552033081,"IVZ",0.649350649350649,0.857142857142857,0.288970728193752,0.908645503115794
