"","X1","STX","FOR","long_distance","Fx","Fy","MI_X","MI_Y"
"40",2009-03-02,0.724409448818898,0.712994350282486,NA,0.00432900432900433,0.0303030303030303,0.0227899054036379,0.364577909901775
"41",2009-03-03,0.740157480314961,0.771751412429379,NA,0.822510822510823,0.909090909090909,0.613846370290872,0.858839487500202
"42",2009-03-04,0.740157480314961,0.792090395480226,NA,0.571428571428571,0.783549783549784,0.406615902722093,0.80367783108676
"43",2009-03-05,0.673228346456693,0.72090395480226,NA,0.0346320346320346,0.0995670995670996,0.0768884446516659,0.360533384674851
"44",2009-03-06,0.612204724409449,0.689265536723164,NA,0.0346320346320346,0.177489177489178,0.04633443983919,0.512944676762321
"45",2009-03-09,0.618110236220472,0.702824858757062,NA,0.692640692640693,0.748917748917749,0.585278110176331,0.699839773002144
"46",2009-03-10,0.710629921259842,0.776271186440678,NA,1,0.922077922077922,0.9999999999,0.0964986452601254
"47",2009-03-11,0.732283464566929,0.665536723163842,NA,0.865800865800866,0.0476190476190476,0.964048915521325,0.0123225263211867
"48",2009-03-12,0.763779527559055,0.780790960451977,NA,0.922077922077922,0.961038961038961,0.71020173633705,0.89482502817258
"49",2009-03-13,0.838582677165354,0.769491525423729,NA,0.982683982683983,0.411255411255411,0.994629637820736,0.119345419569595
"50",2009-03-16,0.846456692913386,0.738983050847458,NA,0.683982683982684,0.181818181818182,0.84837809218486,0.0928719188242868
"51",2009-03-17,0.877952755905512,0.83728813559322,NA,0.909090909090909,0.935064935064935,0.740832574240693,0.8422814197898
"52",2009-03-18,0.925196850393701,0.840677966101695,NA,0.948051948051948,0.584415584415584,0.967727470310572,0.262288866872749
"53",2009-03-19,0.915354330708661,0.792090395480226,NA,0.393939393939394,0.151515151515152,0.607306183360715,0.134777245469287
"54",2009-03-20,0.905511811023622,0.726553672316384,"FOR",0.393939393939394,0.103896103896104,0.654553517362557,0.083356200303197
"55",2009-03-23,1.01574803149606,0.891525423728814,"FOR",0.991341991341991,0.978354978354978,0.93742926643514,0.767791956342841
"56",2009-03-24,1.13779527559055,0.818079096045198,"FOR",0.991341991341991,0.103896103896104,0.998117512540946,0.0278292258049854
"57",2009-03-25,1.17322834645669,0.882485875706215,"FOR",0.874458874458874,0.904761904761905,0.716252279651288,0.812248358418538
"58",2009-03-26,1.29133858267717,0.979661016949153,"FOR",0.982683982683983,0.930735930735931,0.950999712661005,0.636149983366216
"59",2009-03-27,1.1988188976378,0.933333333333333,"FOR",0.051948051948052,0.164502164502165,0.0797961596122313,0.440646518235301
"60",2009-03-30,1.16338582677165,0.806779661016949,"FOR",0.225108225108225,0.0476190476190476,0.546314124852083,0.0543159049304142
"61",2009-03-31,1.18307086614173,0.864406779661017,"FOR",0.757575757575758,0.9004329004329,0.524832707877058,0.877102898790633
"62",2009-04-01,1.17716535433071,0.95819209039548,"FOR",0.476190476190476,0.930735930735931,0.20173482355925,0.964020243909223
"63",2009-04-02,1.22047244094488,1.02937853107345,"FOR",0.904761904761905,0.904761904761905,0.77886448807256,0.77886448807256
"64",2009-04-03,1.3248031496063,1.09943502824859,"FOR",0.982683982683983,0.896103896103896,0.966047154426073,0.544640006243932
"65",2009-04-06,1.25984251968504,1.08700564971751,"FOR",0.116883116883117,0.41991341991342,0.0908956599136494,0.667592233530375
"66",2009-04-07,1.21062992125984,0.998870056497175,"FOR",0.151515151515152,0.103896103896104,0.320831024636835,0.181907389977143
"67",2009-04-08,1.25,1.10282485875706,"FOR",0.891774891774892,0.917748917748918,0.732193607126352,0.821896632517026
"68",2009-04-09,1.30905511811024,1.26666666666667,"FOR",0.935064935064935,0.952380952380952,0.771201020683313,0.85467297757687
"69",2009-04-13,1.24803149606299,1.23389830508475,"FOR",0.134199134199134,0.281385281385281,0.154906586071737,0.485724672088874
"70",2009-04-14,1.19094488188976,1.13672316384181,"FOR",0.138528138528139,0.103896103896104,0.296748323694447,0.192693232800329
"71",2009-04-15,1.15157480314961,1.23502824858757,NA,0.186147186147186,0.909090909090909,0.0586331909481401,0.971089482835051
"72",2009-04-16,1.25,1.25084745762712,NA,0.982683982683983,0.662337662337662,0.990012723598696,0.251621864350491
"73",2009-04-17,1.34448818897638,1.21242937853107,"FOR",0.974025974025974,0.242424242424242,0.993189782547712,0.0660235699944296
"74",2009-04-20,1.27165354330709,1.07231638418079,"FOR",0.0865800865800866,0.0649350649350649,0.248749424327003,0.162730857821535
"75",2009-04-21,1.31299212598425,1.21242937853107,"FOR",0.891774891774892,0.935064935064935,0.701037892777893,0.859617833153094
"76",2009-04-22,1.40748031496063,1.17514124293785,"FOR",0.96969696969697,0.242424242424242,0.991803267494496,0.0672505722546342
"77",2009-04-23,1.38188976377953,1.19774011299435,"FOR",0.32034632034632,0.748917748917749,0.180204798488764,0.853529586849557
"78",2009-04-24,1.43307086614173,1.28926553672316,"FOR",0.909090909090909,0.904761904761905,0.78825466310102,0.773102048070738
"79",2009-04-27,1.38188976377953,1.23389830508475,"FOR",0.173160173160173,0.177489177489178,0.278599780095898,0.289348068597694
"80",2009-04-28,1.38188976377953,1.27683615819209,"FOR",0.571428571428571,0.813852813852814,0.383342977468352,0.837984748160992
"81",2009-04-29,1.46456692913386,1.41016949152542,"FOR",0.956709956709957,0.917748917748918,0.8874099564692,0.711641190301052
"82",2009-04-30,1.60629921259843,1.45310734463277,"FOR",0.982683982683983,0.805194805194805,0.981851717670601,0.389883991921605
"83",2009-05-01,1.66338582677165,1.30508474576271,"FOR",0.904761904761905,0.0822510822510823,0.974239902644306,0.0221528272826617
"84",2009-05-04,1.78937007874016,1.4361581920904,"FOR",0.974025974025974,0.913419913419913,0.936929071163465,0.63616855641254
"85",2009-05-05,1.66535433070866,1.41694915254237,"FOR",0.0562770562770563,0.411255411255411,0.036196364391762,0.728174242491624
"86",2009-05-06,1.65551181102362,1.55593220338983,"FOR",0.458874458874459,0.913419913419913,0.203495382122002,0.953634203124046
"87",2009-05-07,1.51574803149606,1.36271186440678,"FOR",0.0432900432900433,0.0562770562770563,0.145656358395584,0.213609739372241
"88",2009-05-08,1.53346456692913,1.58757062146893,NA,0.701298701298701,0.956709956709957,0.354325625548424,0.963551053906384
"89",2009-05-11,1.49015748031496,1.45762711864407,NA,0.233766233766234,0.103896103896104,0.456298372355913,0.132994526154498
"90",2009-05-12,1.44488188976378,1.47344632768362,NA,0.203463203463203,0.658008658008658,0.114225311950532,0.821031078514243
"91",2009-05-13,1.3740157480315,1.33785310734463,NA,0.116883116883117,0.0909090909090909,0.272633694696282,0.187416650648291
"92",2009-05-14,1.43503937007874,1.37401129943503,NA,0.930735930735931,0.783549783549784,0.911808237276971,0.513057642347816
"93",2009-05-15,1.42716535433071,1.36271186440678,NA,0.458874458874459,0.445887445887446,0.481287390942399,0.45768546479744
"94",2009-05-18,1.5,1.45423728813559,NA,0.943722943722944,0.896103896103896,0.875340310233692,0.691995967948999
"95",2009-05-19,1.59645669291339,1.41581920903955,"FOR",0.956709956709957,0.277056277056277,0.986653354452395,0.08357986260023
"96",2009-05-20,1.55708661417323,1.4,"FOR",0.25974025974026,0.41991341991342,0.251113970591481,0.551739787744859
"97",2009-05-21,1.57677165354331,1.37401129943503,"FOR",0.727272727272727,0.367965367965368,0.819616039807812,0.230521840145367
"98",2009-05-22,1.66141732283465,1.29604519774011,"FOR",0.948051948051948,0.151515151515152,0.98609346254162,0.0416136968614189
"99",2009-05-26,1.72834645669291,1.36610169491525,"FOR",0.917748917748918,0.865800865800866,0.845350081525791,0.678945429473192
"100",2009-05-27,1.68897637795276,1.35254237288136,"FOR",0.277056277056277,0.432900432900433,0.26570126049414,0.555318573377694
"101",2009-05-28,1.70866141732283,1.31977401129943,"FOR",0.701298701298701,0.298701298701299,0.820620438902575,0.179379561097425
"102",2009-05-29,1.71456692913386,1.37401129943503,"FOR",0.601731601731602,0.831168831168831,0.403193404314583,0.847001188197345
"103",2009-06-01,1.86220472440945,1.46101694915254,"FOR",0.982683982683983,0.887445887445887,0.968530903622748,0.525613309687121
"104",2009-06-02,1.72834645669291,1.45988700564972,"FOR",0.051948051948052,0.532467532467532,0.0242817992998352,0.819078744314569
"105",2009-06-03,1.66535433070866,1.43502824858757,"FOR",0.168831168831169,0.385281385281385,0.15758896162435,0.58178496065099
"106",2009-06-04,1.75787401574803,1.46553672316384,"FOR",0.948051948051948,0.757575757575758,0.943719408591008,0.440394415935627
"107",2009-06-05,1.73425196850394,1.41581920903955,"FOR",0.376623376623377,0.225108225108225,0.524592737868394,0.229233567419131
"108",2009-06-08,1.74409448818898,1.37966101694915,"FOR",0.636363636363636,0.285714285714286,0.767669719020446,0.190895948627837
"109",2009-06-09,1.86220472440945,1.38983050847458,"FOR",0.961038961038961,0.601731601731602,0.976623979957132,0.255823599996463
"110",2009-06-10,1.83661417322835,1.37401129943503,"FOR",0.359307359307359,0.41991341991342,0.37332831383248,0.485632199275242
"111",2009-06-11,1.8996062992126,1.3728813559322,"FOR",0.904761904761905,0.532467532467532,0.937853584522711,0.267780229005082
"112",2009-06-12,1.87795275590551,1.32542372881356,"FOR",0.393939393939394,0.220779220779221,0.549194404611628,0.216011215330801
"113",2009-06-15,1.83858267716535,1.28587570621469,"FOR",0.294372294372294,0.251082251082251,0.397174963819846,0.308203803251812
"114",2009-06-16,1.79527559055118,1.28022598870056,"FOR",0.268398268398268,0.484848484848485,0.23206927185471,0.621384886539133
"115",2009-06-17,1.84842519685039,1.27231638418079,"FOR",0.865800865800866,0.467532467532468,0.91567617670785,0.243583814594374
"116",2009-06-18,1.82283464566929,1.26779661016949,"FOR",0.359307359307359,0.502164502164502,0.328640980582488,0.585337593797337
"117",2009-06-19,1.90748031496063,1.31864406779661,"FOR",0.930735930735931,0.831168831168831,0.891672182657554,0.590464617927777
"118",2009-06-22,1.85433070866142,1.18983050847458,"FOR",0.233766233766234,0.0822510822510823,0.489370212830186,0.101145250643213
"119",2009-06-23,1.88976377952756,1.17627118644068,"FOR",0.783549783549784,0.41991341991342,0.854808977223529,0.25061853327018
"120",2009-06-24,1.94291338582677,1.2225988700565,"FOR",0.865800865800866,0.826839826839827,0.782016566978962,0.678905212649952
"121",2009-06-25,1.87007874015748,1.26327683615819,"FOR",0.16017316017316,0.80952380952381,0.0603894659839621,0.928807921711382
"122",2009-06-26,2.02165354330709,1.29378531073446,"FOR",0.982683982683983,0.774891774891775,0.984428568336297,0.35333658360389
"123",2009-06-29,2.0255905511811,1.30169491525424,"FOR",0.588744588744589,0.601731601731602,0.549161756746038,0.573127053884128
"124",2009-06-30,2.05905511811024,1.34237288135593,"FOR",0.757575757575758,0.80952380952381,0.626664229691552,0.743532461070382
"125",2009-07-01,2.08661417322835,1.41581920903955,"FOR",0.74025974025974,0.87012987012987,0.539407489348718,0.841294928288805
