"","X1","THO","AEO","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.72821270310192,0.884964682139253,"THO",0.0649350649350649,0.385281385281385,0.028299474568912,0.776076610131368
"46",2009-03-10,0.881831610044313,0.9656912209889,"THO",0.995670995670996,0.978354978354978,0.973327466520006,0.460244562613583
"47",2009-03-11,0.909896602658789,0.977800201816347,"THO",0.887445887445887,0.645021645021645,0.925744856492863,0.310564745665695
"48",2009-03-12,0.932791728212703,1.00807265388496,"THO",0.83982683982684,0.800865800865801,0.753519500738955,0.620152807237559
"49",2009-03-13,0.977104874446086,1.04339051463169,"THO",0.922077922077922,0.822510822510823,0.896143888761711,0.489551493398939
"50",2009-03-16,0.99261447562777,1.04540867810293,"THO",0.753246753246753,0.554112554112554,0.80996817772889,0.350939861813499
"51",2009-03-17,1.01403249630724,1.08375378405651,"THO",0.80952380952381,0.831168831168831,0.651150967451092,0.725541838419735
"52",2009-03-18,1.03323485967504,1.14530776992936,"THO",0.796536796536797,0.930735930735931,0.420104237795875,0.926700982394926
"53",2009-03-19,1.02141802067947,1.15237134207871,"THO",0.376623376623377,0.588744588744589,0.262387823525617,0.719273871939492
"54",2009-03-20,0.983751846381093,1.10898082744702,"THO",0.168831168831169,0.164502164502165,0.31113389840526,0.295523278294292
"55",2009-03-23,1.11669128508124,1.19778002018163,"THO",0.987012987012987,0.961038961038961,0.942520737706504,0.540270782293911
"56",2009-03-24,1.10487444608567,1.19475277497477,"THO",0.393939393939394,0.519480519480519,0.332435866239125,0.618304065369867
"57",2009-03-25,1.12481536189069,1.20686175580222,"THO",0.792207792207792,0.627705627705628,0.818447116426386,0.405430004883165
"58",2009-03-26,1.15952732644018,1.29465186680121,"THO",0.887445887445887,0.961038961038961,0.487594258830455,0.932130398398721
"59",2009-03-27,1.12776957163959,1.29566094853683,"THO",0.233766233766234,0.554112554112554,0.129877030952431,0.773404759932185
"60",2009-03-30,1.10930576070901,1.24318869828456,"THO",0.333333333333333,0.151515151515152,0.612120463826908,0.128007587226132
"61",2009-03-31,1.15361890694239,1.2351160443996,"THO",0.909090909090909,0.493506493506494,0.966578193398596,0.17374289633492
"62",2009-04-01,1.22304283604136,1.27245206861756,"THO",0.956709956709957,0.796536796536797,0.964216259592947,0.343731307964823
"63",2009-04-02,1.35007385524372,1.3380423814329,NA,0.978354978354978,0.922077922077922,0.952950561262742,0.47125488708394
"64",2009-04-03,1.40915805022157,1.31987891019173,NA,0.922077922077922,0.437229437229437,0.976524959103752,0.138624922872172
"65",2009-04-06,1.27031019202363,1.28254288597376,NA,0.025974025974026,0.25974025974026,0.0116914821568061,0.762589512934582
"66",2009-04-07,1.25406203840473,1.2108980827447,NA,0.376623376623377,0.0779220779220779,0.753593025404866,0.0386449076060383
"67",2009-04-08,1.26735598227474,1.26236125126135,NA,0.727272727272727,0.878787878787879,0.425138223097306,0.882858796409732
"68",2009-04-09,1.33161004431315,1.41069626639758,NA,0.935064935064935,1,0.106474540217669,0.9999999999
"69",2009-04-13,1.22008862629247,1.41876892028254,"THO",0.025974025974026,0.588744588744589,0.00480299463542549,0.891773649849897
"70",2009-04-14,1.25036927621861,1.3773965691221,"THO",0.83982683982684,0.246753246753247,0.95165585381274,0.0767937190671447
"71",2009-04-15,1.24519940915805,1.38546922300706,"THO",0.476190476190476,0.588744588744589,0.390023880557941,0.647235064798724
"72",2009-04-16,1.29837518463811,1.47325933400605,"THO",0.922077922077922,0.943722943722944,0.67757921984941,0.827980048041343
"73",2009-04-17,1.32348596750369,1.54994954591322,"THO",0.796536796536797,0.926406926406926,0.431612915136786,0.919709876157045
"74",2009-04-20,1.22230428360414,1.4561049445005,"THO",0.0303030303030303,0.0649350649350649,0.0958041660419028,0.411143853812417
"75",2009-04-21,1.27843426883309,1.52068617558022,"THO",0.922077922077922,0.887445887445887,0.824822418162231,0.642314818010136
"76",2009-04-22,1.37444608567208,1.53985872855701,"THO",0.965367965367965,0.645021645021645,0.987928319107186,0.199444232349032
"77",2009-04-23,1.3685376661743,1.5146316851665,"THO",0.476190476190476,0.376623376623377,0.573230641530811,0.341819175842721
"78",2009-04-24,1.4807976366322,1.57416750756811,"THO",0.96969696969697,0.861471861471861,0.964750667484799,0.387463221002483
"79",2009-04-27,1.46381093057607,1.53077699293643,"THO",0.376623376623377,0.268398268398268,0.53433821778104,0.263940720992237
"80",2009-04-28,1.46602658788774,1.50857719475277,"THO",0.54978354978355,0.424242424242424,0.634904538072868,0.350306265424128
"81",2009-04-29,1.59379615952733,1.47325933400605,NA,0.978354978354978,0.303030303030303,0.996414322946755,0.082604423669385
"82",2009-04-30,1.69793205317578,1.49545913218971,"AEO",0.956709956709957,0.653679653679654,0.982533021719787,0.218450615474436
"83",2009-05-01,1.58050221565731,1.46014127144299,"AEO",0.0346320346320346,0.294372294372294,0.015362618940818,0.764462373930929
"84",2009-05-04,1.51550960118168,1.50857719475277,"AEO",0.138528138528139,0.80952380952381,0.0375260472978338,0.946296456802252
"85",2009-05-05,1.54135893648449,1.56407669021191,NA,0.783549783549784,0.831168831168831,0.600552683702356,0.756554037911225
