"","X1","EMR","OKE","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.707509881422925,0.613398692810457,"OKE",0.978354978354978,0.930735930735931,0.946110717139025,0.41639799887793
"47",2009-03-11,0.721739130434783,0.617320261437909,"OKE",0.813852813852814,0.653679653679654,0.827854731064885,0.42639265287533
"48",2009-03-12,0.722793148880105,0.638235294117647,"OKE",0.545454545454545,0.935064935064935,0.144295417178326,0.97751252253564
"49",2009-03-13,0.706719367588933,0.656209150326797,"OKE",0.212121212121212,0.922077922077922,0.0245822445722968,0.989680401757066
"50",2009-03-16,0.707509881422925,0.668300653594771,"OKE",0.545454545454545,0.835497835497836,0.270516352563025,0.895920414904637
"51",2009-03-17,0.712516469038208,0.698039215686274,"OKE",0.658008658008658,0.956709956709957,0.169308100390995,0.983290272191594
"52",2009-03-18,0.731225296442688,0.715032679738562,"OKE",0.852813852813853,0.887445887445887,0.637991320139582,0.789854443473226
"53",2009-03-19,0.726482213438735,0.740522875816993,NA,0.38961038961039,0.939393939393939,0.0681666141009716,0.987309367586098
"54",2009-03-20,0.706192358366271,0.723202614379085,NA,0.16017316017316,0.16017316017316,0.306467603486552,0.306467603486552
"55",2009-03-23,0.763109354413702,0.765359477124183,NA,0.978354978354978,0.96969696969697,0.830793610620091,0.657198726600881
"56",2009-03-24,0.750197628458498,0.747385620915033,NA,0.251082251082251,0.16017316017316,0.477649776022922,0.198848801299065
"57",2009-03-25,0.749670619235837,0.763725490196078,NA,0.502164502164502,0.852813852813853,0.211853116088541,0.922849661094134
"58",2009-03-26,0.779183135704875,0.772222222222222,NA,0.913419913419913,0.744588744588745,0.924359041834902,0.369384900419368
"59",2009-03-27,0.763109354413702,0.748692810457516,NA,0.220779220779221,0.125541125541126,0.49300460232718,0.164687602899444
"60",2009-03-30,0.73596837944664,0.728104575163399,NA,0.12987012987013,0.125541125541126,0.301412136433529,0.282273356246156
"61",2009-03-31,0.753096179183136,0.739542483660131,NA,0.83982683982684,0.80952380952381,0.746810123285797,0.642239931981915
"62",2009-04-01,0.778129117259552,0.753921568627451,NA,0.883116883116883,0.835497835497836,0.803841186413648,0.609168965069241
"63",2009-04-02,0.821870882740448,0.782679738562091,NA,0.956709956709957,0.943722943722944,0.810939688643743,0.673058085218491
"64",2009-04-03,0.842160737812912,0.787908496732026,NA,0.848484848484849,0.662337662337662,0.870442790158785,0.388498683182791
