,WEN,NTGR
2008-07-15,0.560081466395112,0.46613545816733065
2008-07-16,0.5773930753564155,0.48750452734516486
2008-07-17,0.5773930753564155,0.5016298442593263
2008-07-18,0.5987780040733197,0.5099601593625498
2008-07-21,0.5875763747454175,0.5331401666063021
2008-07-22,0.5885947046843177,0.5396595436436075
2008-07-23,0.5855397148676171,0.5461789206809127
2008-07-24,0.5560081466395111,0.5566823614632379
2008-07-25,0.5590631364562119,0.5574067366896053
2008-07-28,0.5448065173116089,0.5345889170590366
2008-07-29,0.5794297352342159,0.5512495472654836
2008-07-30,0.5631364562118126,0.5541470481709526
2008-07-31,0.5631364562118126,0.5487142339731982
2008-08-01,0.5621181262729124,0.5519739224918508
2008-08-04,0.5672097759674135,0.5505251720391162
2008-08-05,0.5865580448065173,0.5606664252082579
