,ADVS,ARW
2008-07-15,0.7331751509922347,0.8130813953488372
2008-07-16,0.7696289905090595,0.8479651162790699
2008-07-17,0.8002588438308887,0.8776162790697675
2008-07-18,0.8125539257981018,0.8863372093023256
2008-07-21,0.8032786885245902,0.8837209302325582
2008-07-22,0.825711820534944,0.8813953488372094
2008-07-23,0.8531061259706643,0.9625
2008-07-24,0.8323986194995687,0.9302325581395349
2008-07-25,0.840595340811044,0.9357558139534884
2008-07-28,0.8347713546160483,0.9302325581395349
2008-07-29,0.8766177739430544,0.9517441860465117
2008-07-30,0.965056082830026,0.9360465116279071
2008-07-31,0.9391716997411561,0.9366279069767441
2008-08-01,0.9723899913718723,0.9322674418604652
2008-08-04,0.9698015530629853,0.9424418604651164
2008-08-05,0.9851164797238999,0.9909883720930234
