"","X1","ADVS","ARW","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,1.15700934579439,0.771617497456765,"ARW",0.0865800865800866,0.16017316017316,0.149521085090987,0.469993212374882
"46",2009-03-10,1.25700934579439,0.827568667344863,"ARW",0.978354978354978,0.978354978354978,0.788097196499828,0.788097196499828
"47",2009-03-11,1.25,0.849949135300102,"ARW",0.471861471861472,0.865800865800866,0.155474806083422,0.944723727191743
"48",2009-03-12,1.28271028037383,0.886571719226857,"ARW",0.805194805194805,0.926406926406926,0.423000084488715,0.905279226503188
"49",2009-03-13,1.25420560747664,0.903357070193286,"ARW",0.268398268398268,0.792207792207792,0.0749315458352638,0.940280369740551
"50",2009-03-16,1.25373831775701,0.889623601220753,"ARW",0.523809523809524,0.298701298701299,0.715237154094658,0.207241931347075
"51",2009-03-17,1.33971962616822,0.914547304170905,"ARW",0.965367965367965,0.87012987012987,0.945144803424528,0.409202328586441
"52",2009-03-18,1.39485981308411,0.961342828077314,"ARW",0.904761904761905,0.956709956709957,0.548043651285964,0.891269689500707
"53",2009-03-19,1.44065420560748,0.951678535096643,"ARW",0.852813852813853,0.359307359307359,0.954785855480052,0.0990023616902108
"54",2009-03-20,1.36588785046729,0.920651068158698,"ARW",0.0865800865800866,0.12987012987013,0.186631440353703,0.395623184413418
"55",2009-03-23,1.46869158878505,0.989318413021363,"ARW",0.974025974025974,0.978354978354978,0.749720379875385,0.818662216195279
"56",2009-03-24,1.42056074766355,1.01322482197355,"ARW",0.177489177489178,0.835497835497836,0.0346946882589129,0.967773751923221
"57",2009-03-25,1.53738317757009,1.00813835198372,"ARW",0.978354978354978,0.441558441558442,0.996496063601183,0.0690010917417145
"58",2009-03-26,1.62242990654206,1.05696846388606,"ARW",0.939393939393939,0.943722943722944,0.735771073107749,0.76889219795805
"59",2009-03-27,1.54953271028037,1.00762970498474,"ARW",0.103896103896104,0.0649350649350649,0.388896714632452,0.164629218961267
"60",2009-03-30,1.49205607476636,0.947609359104781,"ARW",0.121212121212121,0.0432900432900433,0.52712527063275,0.0817280222878291
"61",2009-03-31,1.55654205607477,0.969481180061038,"ARW",0.909090909090909,0.826839826839827,0.853837267122644,0.512737887996736
"62",2009-04-01,1.50373831775701,0.995422177009156,"ARW",0.151515151515152,0.865800865800866,0.025740464792552,0.977219684446041
"63",2009-04-02,1.58364485981308,1.05442522889115,"ARW",0.930735930735931,0.965367965367965,0.594991062024862,0.883108483561084
"64",2009-04-03,1.6088785046729,1.05086469989827,"ARW",0.731601731601732,0.454545454545455,0.837607431502205,0.237321981188012
"65",2009-04-06,1.55607476635514,0.998474059003052,"ARW",0.177489177489178,0.0606060606060606,0.583647646296488,0.0809365089640897
"66",2009-04-07,1.51869158878505,0.957273652085453,"ARW",0.255411255411255,0.0822510822510823,0.652630533928879,0.0779557060446786
"67",2009-04-08,1.51448598130841,0.977110885045778,"ARW",0.497835497835498,0.80952380952381,0.218230391907105,0.894221786063797
"68",2009-04-09,1.63504672897196,1.00762970498474,"ARW",0.978354978354978,0.883116883116883,0.967750961450408,0.359566974512777
"69",2009-04-13,1.58598130841121,0.987792472024415,"ARW",0.194805194805195,0.242424242424242,0.2783284454566,0.428039586227038
"70",2009-04-14,1.56121495327103,0.981688708036623,"ARW",0.337662337662338,0.41991341991342,0.336630770960935,0.541063541890655
"71",2009-04-15,1.55560747663551,1,"ARW",0.493506493506494,0.792207792207792,0.228340090285469,0.87980657552614
"72",2009-04-16,1.58504672897196,1.07985757884028,"ARW",0.753246753246753,0.987012987012987,0.16100680289867,0.994760165222081
"73",2009-04-17,1.55981308411215,1.04933875890132,"ARW",0.324675324675325,0.155844155844156,0.620394700835603,0.146292699092832
"74",2009-04-20,1.46869158878505,0.995422177009156,"ARW",0.0822510822510823,0.0562770562770563,0.349090148321848,0.175261461646343
"75",2009-04-21,1.51728971962617,0.977110885045778,"ARW",0.857142857142857,0.264069264069264,0.96698047543279,0.05867430802889
"76",2009-04-22,1.47196261682243,1.02034587995931,"ARW",0.194805194805195,0.939393939393939,0.0295078210304185,0.99123498106049
"77",2009-04-23,1.48130841121495,1.01983723296033,"ARW",0.61038961038961,0.497835497835498,0.660640396480711,0.392836600226551
"78",2009-04-24,1.53177570093458,1.03865717192269,"ARW",0.865800865800866,0.792207792207792,0.799396971369929,0.53703096076808
"79",2009-04-27,1.53738317757009,1.06103763987792,"ARW",0.597402597402597,0.818181818181818,0.31307064911441,0.862056724478489
"80",2009-04-28,1.51214953271028,1.08545269582909,"ARW",0.324675324675325,0.826839826839827,0.0916238112304398,0.947228309498838
"81",2009-04-29,1.46308411214953,1.14750762970498,"ARW",0.177489177489178,0.965367965367965,0.0250098985806364,0.995684382700534
"82",2009-04-30,1.55327102803738,1.15666327568667,"ARW",0.952380952380952,0.670995670995671,0.976366386419646,0.197994775448053
"83",2009-05-01,1.52429906542056,1.16988809766022,"ARW",0.307359307359307,0.722943722943723,0.118430489122579,0.891161773002554
"84",2009-05-04,1.56028037383178,1.23957273652085,"ARW",0.787878787878788,0.96969696969697,0.25831694924122,0.977127842832135
"85",2009-05-05,1.62242990654206,1.20040691759919,"ARW",0.891774891774892,0.134199134199134,0.983389883450005,0.0207482528123935
"86",2009-05-06,1.6196261682243,1.20040691759919,"ARW",0.510822510822511,0.506493506493506,0.509682179634703,0.499227361258718
"87",2009-05-07,1.57056074766355,1.11851475076297,"ARW",0.19047619047619,0.0303030303030303,0.715440029712232,0.0266936401560562
"88",2009-05-08,1.58738317757009,1.16683621566633,"ARW",0.653679653679654,0.926406926406926,0.228807706903505,0.957547856178971
"89",2009-05-11,1.56028037383178,1.12258392675483,"ARW",0.316017316017316,0.0909090909090909,0.711978773486643,0.0671925363168658
"90",2009-05-12,1.60046728971963,1.09155645981689,"ARW",0.800865800865801,0.155844155844156,0.960011019739115,0.0315738533994529
"91",2009-05-13,1.47009345794393,1.05645981688708,"ARW",0.038961038961039,0.134199134199134,0.0620843219234568,0.578969436299658
"92",2009-05-14,1.51448598130841,1.08545269582909,"ARW",0.831168831168831,0.865800865800866,0.618576854698186,0.753314791780688
"93",2009-05-15,1.49018691588785,1.07833163784334,"ARW",0.324675324675325,0.41991341991342,0.317702140003776,0.554476838759872
"94",2009-05-18,1.52196261682243,1.10274669379451,"ARW",0.770562770562771,0.822510822510823,0.569903863507251,0.739360361539674
"95",2009-05-19,1.52009345794393,1.15920651068159,"ARW",0.510822510822511,0.956709956709957,0.106471362459491,0.988782215582331
"96",2009-05-20,1.49252336448598,1.18209562563581,"ARW",0.311688311688312,0.805194805194805,0.0922458331069824,0.938692340947024
"97",2009-05-21,1.44439252336449,1.17853509664293,"ARW",0.177489177489178,0.458874458874459,0.109103845244777,0.752417390929427
"98",2009-05-22,1.43971962616822,1.13377416073245,"ARW",0.497835497835498,0.0909090909090909,0.858098475909607,0.0332019633822806
"99",2009-05-26,1.4696261682243,1.18921668362157,"ARW",0.770562770562771,0.943722943722944,0.319563928784295,0.948545874125571
"100",2009-05-27,1.44205607476636,1.17090539165819,"ARW",0.307359307359307,0.298701298701299,0.409155042770486,0.385640074868031
"101",2009-05-28,1.43457943925234,1.22431332655137,"ARW",0.476190476190476,0.943722943722944,0.103543115264772,0.985156626922918
"102",2009-05-29,1.43411214953271,1.23041709053917,"ARW",0.523809523809524,0.601731601731602,0.437628978258387,0.625758278705572
"103",2009-06-01,1.47523364485981,1.27009155645982,"ARW",0.826839826839827,0.887445887445887,0.564442296536414,0.806678434306755
"104",2009-06-02,1.4981308411215,1.25228891149542,"ARW",0.727272727272727,0.324675324675325,0.888172214492074,0.128682649265847
"105",2009-06-03,1.48878504672897,1.17039674465921,"ARW",0.463203463203463,0.0432900432900433,0.883242904006883,0.0121827178571918
"106",2009-06-04,1.52009345794393,1.19786368260427,"ARW",0.770562770562771,0.831168831168831,0.556167529936006,0.75560873410319
"107",2009-06-05,1.52336448598131,1.17090539165819,"ARW",0.571428571428571,0.203463203463203,0.830160612912977,0.0943433287647236
"108",2009-06-08,1.47803738317757,1.1500508646999,"ARW",0.194805194805195,0.277056277056277,0.243172067157378,0.48903616363542
"109",2009-06-09,1.48411214953271,1.176500508647,"ARW",0.597402597402597,0.826839826839827,0.3030990930376,0.872184445931912
"110",2009-06-10,1.42570093457944,1.16022380467955,"ARW",0.121212121212121,0.324675324675325,0.100181236180224,0.672685798221238
"111",2009-06-11,1.44953271028037,1.1881993896236,"ARW",0.74025974025974,0.835497835497836,0.494533655030041,0.792949092178937
"112",2009-06-12,1.45934579439252,1.1383519837233,"ARW",0.619047619047619,0.0822510822510823,0.917751973739881,0.0198595560337224
"113",2009-06-15,1.44345794392523,1.0940996948118,"ARW",0.402597402597403,0.0909090909090909,0.794176163856889,0.046676814383525
"114",2009-06-16,1.43551401869159,1.07884028484232,"ARW",0.471861471861472,0.324675324675325,0.627019533776733,0.275464079634185
"115",2009-06-17,1.45841121495327,1.07222787385554,"ARW",0.731601731601732,0.41991341991342,0.853962620299034,0.203760653246276
"116",2009-06-18,1.5,1.08901322482197,"ARW",0.826839826839827,0.766233766233766,0.752146654110788,0.555013629998303
"117",2009-06-19,1.57429906542056,1.09003051881994,"ARW",0.917748917748918,0.519480519480519,0.969840955420631,0.144472626375051
"118",2009-06-22,1.47990654205607,1.03713123092574,"ARW",0.0822510822510823,0.0649350649350649,0.31729928897605,0.206273630550708
"119",2009-06-23,1.46261682242991,1.03357070193286,"ARW",0.393939393939394,0.454545454545455,0.387579749230686,0.535280829872038
"120",2009-06-24,1.4803738317757,1.05696846388606,"ARW",0.67965367965368,0.822510822510823,0.4170061384251,0.81963176826791
"121",2009-06-25,1.52570093457944,1.07731434384537,"ARW",0.831168831168831,0.796536796536797,0.725645870318836,0.606414161764706
"122",2009-06-26,1.52897196261682,1.0824008138352,"ARW",0.571428571428571,0.601731601731602,0.507212544163906,0.58181013119646
"123",2009-06-29,1.54252336448598,1.08952187182096,"ARW",0.627705627705628,0.636363636363636,0.557298981133042,0.579275629399533
"124",2009-06-30,1.53224299065421,1.08036622583927,"ARW",0.441558441558442,0.385281385281385,0.524807409413281,0.386848188223823
"125",2009-07-01,1.55420560747664,1.09511698880977,"ARW",0.714285714285714,0.744588744588745,0.576521386400751,0.662714793420843
