,DW,REX
2008-07-15,0.5810760667903525,0.5927116827438371
2008-07-16,0.6211502782931354,0.6007502679528404
2008-07-17,0.6326530612244898,0.6141479099678457
2008-07-18,0.6285714285714287,0.6270096463022508
2008-07-21,0.6267161410018554,0.6318327974276526
2008-07-22,0.6515769944341373,0.6838156484458735
2008-07-23,0.6946196660482374,0.6956055734190782
2008-07-24,0.6630797773654917,0.6859592711682744
2008-07-25,0.6675324675324675,0.6768488745980707
2008-07-28,0.6259740259740261,0.6645230439442659
2008-07-29,0.6690166975881262,0.672561629153269
2008-07-30,0.6467532467532467,0.6891747052518756
2008-07-31,0.549165120593692,0.657556270096463
2008-08-01,0.5588126159554732,0.6441586280814576
2008-08-04,0.5588126159554732,0.6216505894962486
2008-08-05,0.5684601113172542,0.645230439442658
