"","X1","PEP","CL","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.832588886903698,0.805539526832083,NA,0.909090909090909,0.83982683982684,0.846829078772702,0.495916232499604
"47",2009-03-11,0.847239592638914,0.8133294864397,NA,0.909090909090909,0.757575757575758,0.915751594059444,0.332937740325594
"48",2009-03-12,0.862783634089691,0.815204847085978,NA,0.909090909090909,0.58008658008658,0.967510668761836,0.145409311395317
"49",2009-03-13,0.868679649812399,0.831217541834968,NA,0.714285714285714,0.904761904761905,0.282873047932197,0.929768952772674
"50",2009-03-16,0.870644988386636,0.826889786497403,NA,0.61038961038961,0.376623376623377,0.75717372172113,0.231145912599601
"51",2009-03-17,0.87993567982848,0.849826889786497,NA,0.805194805194805,0.935064935064935,0.32286824036413,0.932852857721697
"52",2009-03-18,0.883866356976952,0.832948643969994,NA,0.675324675324675,0.125541125541126,0.950713668967189,0.0199723730850092
"53",2009-03-19,0.875290334107558,0.826745527986151,NA,0.229437229437229,0.29004329004329,0.267581787284375,0.465579982502447
"54",2009-03-20,0.893693049848133,0.827611079053664,NA,0.926406926406926,0.523809523809524,0.983410536375718,0.0893208739806768
"55",2009-03-23,0.922458459889226,0.855597230236584,"CL",0.952380952380952,0.961038961038961,0.660502478102174,0.777184260189367
"56",2009-03-24,0.920671788458103,0.843479515291402,"CL",0.476190476190476,0.164502164502165,0.809901948762053,0.0706651382146739
"57",2009-03-25,0.937466499910666,0.854443162146567,"CL",0.909090909090909,0.822510822510823,0.866694380388886,0.455175954278551
"58",2009-03-26,0.949794532785421,0.869734564339296,"CL",0.835497835497836,0.891774891774892,0.541391066698085,0.810003807991697
"59",2009-03-27,0.936037162765767,0.858482400461627,"CL",0.142857142857143,0.173160173160173,0.252089085925408,0.401315607851141
"60",2009-03-30,0.925317134179025,0.848095787651472,"CL",0.181818181818182,0.181818181818182,0.331168465200264,0.331168465200264
"61",2009-03-31,0.919778452742541,0.850836699365263,"CL",0.333333333333333,0.61038961038961,0.182254493285768,0.788587791033428
"62",2009-04-01,0.932999821332857,0.848240046162724,"CL",0.857142857142857,0.432900432900433,0.957628447470998,0.109907661003516
"63",2009-04-02,0.944434518492049,0.883294864396999,"CL",0.818181818181818,0.974025974025974,0.153736578529082,0.98580640181601
"64",2009-04-03,0.941397177059139,0.871898442008079,"CL",0.41991341991342,0.173160173160173,0.744880210616741,0.0961647387206011
"65",2009-04-06,0.941039842772914,0.881563762261974,"CL",0.545454545454545,0.770562770562771,0.29467317025219,0.842704865024834
"66",2009-04-07,0.933535822762194,0.870311598384305,"CL",0.277056277056277,0.173160173160173,0.547590258823489,0.179920625472123
"67",2009-04-08,0.934071824191531,0.874495095210618,"CL",0.575757575757576,0.640692640692641,0.476810692816379,0.6395952049966
"68",2009-04-09,0.930855815615508,0.86266589728794,"CL",0.41991341991342,0.164502164502165,0.757356179798994,0.08710244477266
"69",2009-04-13,0.919957119885653,0.843768032313907,"CL",0.177489177489178,0.116883116883117,0.49048738989607,0.178910273448193
"70",2009-04-14,0.903341075576202,0.826457010963647,"CL",0.116883116883117,0.125541125541126,0.286863755357886,0.341473297826222
