,MDCA,HOG
2008-07-14,0.883578431372549,0.8075702075702075
2008-07-15,0.8854166666666666,0.8256410256410256
2008-07-16,0.9068627450980392,0.8835164835164835
2008-07-17,0.9178921568627451,0.9457875457875456
2008-07-18,0.9154411764705882,0.9145299145299145
2008-07-21,0.9129901960784313,0.9096459096459096
2008-07-22,0.9166666666666667,0.9286935286935286
2008-07-23,0.9362745098039215,0.95995115995116
2008-07-24,0.9356617647058824,0.9032967032967033
2008-07-25,0.9178921568627451,0.906959706959707
2008-07-28,0.9375,0.8942612942612941
2008-07-29,0.9938725490196078,0.9250305250305251
2008-07-30,1.0502450980392157,0.9335775335775335
2008-07-31,1.0600490196078431,0.9240537240537241
2008-08-01,1.0,0.9245421245421245
2008-08-04,0.9950980392156862,0.9235653235653235
2008-08-05,0.9522058823529411,0.9748473748473748
