"","X1","OSUR","ICON","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.614754098360656,0.717573221757322,"OSUR",0.233766233766234,0.173160173160173,0.370296467893431,0.225431329402156
"46",2009-03-10,0.655737704918033,0.788702928870293,"OSUR",0.922077922077922,0.96969696969697,0.658214618530374,0.925037269028172
"47",2009-03-11,0.631147540983607,0.801255230125523,"OSUR",0.199134199134199,0.705627705627706,0.10186770566119,0.850006107841554
"48",2009-03-12,0.707650273224044,0.801255230125523,"OSUR",0.961038961038961,0.567099567099567,0.982035826462185,0.250020525134713
"49",2009-03-13,0.743169398907104,0.838912133891213,"OSUR",0.891774891774892,0.883116883116883,0.783287725280151,0.754351717783306
"50",2009-03-16,0.699453551912568,0.826359832635983,"OSUR",0.108225108225108,0.367965367965368,0.0842053972611971,0.615798530130077
"51",2009-03-17,0.759562841530055,0.844142259414226,"OSUR",0.939393939393939,0.744588744588745,0.944379112459121,0.441069121600153
"52",2009-03-18,0.781420765027322,0.858786610878661,"OSUR",0.805194805194805,0.714285714285714,0.775445874118242,0.575073906584646
"53",2009-03-19,0.729508196721311,0.870292887029289,"OSUR",0.0735930735930736,0.683982683982684,0.0282817463929283,0.866365960127028
"54",2009-03-20,0.674863387978142,0.859832635983264,"OSUR",0.0692640692640693,0.402597402597403,0.0420528409533975,0.69180910533902
"55",2009-03-23,0.672131147540984,0.929916317991632,"OSUR",0.519480519480519,0.948051948051948,0.234372514772565,0.97604649262806
"56",2009-03-24,0.721311475409836,0.872384937238494,"OSUR",0.926406926406926,0.0822510822510823,0.971299196356839,0.032710957468547
"57",2009-03-25,0.734972677595628,0.897489539748954,"OSUR",0.744588744588745,0.805194805194805,0.618519520319079,0.756800793799955
"58",2009-03-26,0.778688524590164,0.951882845188284,"OSUR",0.917748917748918,0.917748917748918,0.791657375725981,0.791657375725981
"59",2009-03-27,0.734972677595628,0.947698744769874,"OSUR",0.125541125541126,0.510822510822511,0.0748210015548196,0.733071735619619
"60",2009-03-30,0.688524590163934,0.899581589958159,"OSUR",0.0822510822510823,0.116883116883117,0.162484522104431,0.28746016146251
"61",2009-03-31,0.691256830601093,0.925732217573222,"OSUR",0.593073593073593,0.805194805194805,0.419934599895444,0.831005619761401
"62",2009-04-01,0.743169398907104,0.938284518828452,"OSUR",0.930735930735931,0.683982683982684,0.946340958716601,0.388347041995709
"63",2009-04-02,0.789617486338798,1.01882845188285,"OSUR",0.922077922077922,0.948051948051948,0.737655088178565,0.863726287681222
"64",2009-04-03,0.806010928961749,1.04497907949791,"OSUR",0.748917748917749,0.779220779220779,0.64779388929846,0.715796644658016
"65",2009-04-06,0.775956284153005,1.06589958158996,"OSUR",0.203463203463203,0.74025974025974,0.0997560535250877,0.872470394435164
"66",2009-04-07,0.751366120218579,1.01359832635983,"OSUR",0.225108225108225,0.12987012987013,0.406384544865384,0.164855638835026
"67",2009-04-08,0.811475409836066,1.02092050209205,"OSUR",0.935064935064935,0.636363636363636,0.957318150944462,0.33615611622314
"68",2009-04-09,0.800546448087432,1.13179916317992,"OSUR",0.402597402597403,0.974025974025974,0.156973469865929,0.991911848721758
"69",2009-04-13,0.80327868852459,1.15376569037657,"OSUR",0.584415584415584,0.74025974025974,0.457806146297509,0.75683694102129
"70",2009-04-14,0.784153005464481,1.18514644351464,"OSUR",0.298701298701299,0.800865800865801,0.153012631324969,0.897477268264523
"71",2009-04-15,0.819672131147541,1.22280334728033,"OSUR",0.865800865800866,0.813852813852814,0.802081928622641,0.661554967402016
"72",2009-04-16,0.89344262295082,1.25523012552301,"OSUR",0.939393939393939,0.796536796536797,0.930353808345317,0.510485675348382
"73",2009-04-17,0.907103825136612,1.28765690376569,"OSUR",0.705627705627706,0.779220779220779,0.585943726335409,0.744226794462482
"74",2009-04-20,0.882513661202186,1.18305439330544,"OSUR",0.25974025974026,0.038961038961039,0.611966690542781,0.0303336943905862
"75",2009-04-21,0.937158469945355,1.25,"OSUR",0.922077922077922,0.9004329004329,0.827159215417398,0.742780673215741
"76",2009-04-22,0.931693989071038,1.22803347280335,"OSUR",0.489177489177489,0.337662337662338,0.581478262448912,0.30292024691601
"77",2009-04-23,0.915300546448087,1.24163179916318,"OSUR",0.354978354978355,0.658008658008658,0.247564518153388,0.760352119130629
"78",2009-04-24,0.934426229508197,1.29811715481172,"OSUR",0.748917748917749,0.87012987012987,0.554985646502268,0.849134686514115
"79",2009-04-27,0.901639344262295,1.30230125523013,"OSUR",0.203463203463203,0.588744588744589,0.12653184457323,0.757623480665624
"80",2009-04-28,0.92896174863388,1.39016736401674,"OSUR",0.80952380952381,0.930735930735931,0.549407803687424,0.912160215956343
"81",2009-04-29,0.986338797814208,1.44979079497908,"OSUR",0.922077922077922,0.865800865800866,0.86268444959973,0.668275880832152
"82",2009-04-30,0.989071038251366,1.49163179916318,"OSUR",0.58008658008658,0.805194805194805,0.405037271496257,0.835623462835139
"83",2009-05-01,0.948087431693989,1.47175732217573,"OSUR",0.181818181818182,0.38961038961039,0.160126488302514,0.570430035322712
"84",2009-05-04,0.975409836065574,1.62238493723849,"OSUR",0.805194805194805,0.96969696969697,0.436882708202042,0.970537547649518
"85",2009-05-05,0.975409836065574,1.5826359832636,"OSUR",0.562770562770563,0.268398268398268,0.702276456271035,0.19493719524081
"86",2009-05-06,1.02732240437158,1.59623430962343,"OSUR",0.904761904761905,0.645021645021645,0.926603759779927,0.382998024167867
"87",2009-05-07,1.00819672131148,1.59518828451883,"OSUR",0.341991341991342,0.554112554112554,0.277637607352384,0.655057136044777
"88",2009-05-08,1.03825136612022,1.62029288702929,"OSUR",0.80952380952381,0.701298701298701,0.788682351695579,0.553019687931975
"89",2009-05-11,1.00273224043716,1.59414225941423,"OSUR",0.207792207792208,0.350649350649351,0.208246599772584,0.500598567527406
"90",2009-05-12,0.986338797814208,1.52196652719665,"OSUR",0.367965367965368,0.147186147186147,0.576195027789923,0.127188630615934
"91",2009-05-13,0.877049180327869,1.45292887029289,"OSUR",0.0346320346320346,0.147186147186147,0.0470771030867398,0.475721036608883
"92",2009-05-14,0.909836065573771,1.48326359832636,"OSUR",0.844155844155844,0.74025974025974,0.816184818509974,0.57289301529143
"93",2009-05-15,0.85792349726776,1.52928870292887,"OSUR",0.125541125541126,0.80952380952381,0.0499163252711894,0.921442994442648
"94",2009-05-18,0.92896174863388,1.56485355648536,"OSUR",0.935064935064935,0.744588744588745,0.939075702861225,0.449522925989152
"95",2009-05-19,0.926229508196721,1.57112970711297,"OSUR",0.523809523809524,0.601731601731602,0.470705324700326,0.615369489567722
"96",2009-05-20,0.890710382513661,1.54916317991632,"OSUR",0.194805194805195,0.385281385281385,0.17717025622872,0.554515551224259
"97",2009-05-21,0.849726775956284,1.51673640167364,"OSUR",0.151515151515152,0.298701298701299,0.158499603375033,0.485878683023125
"98",2009-05-22,0.855191256830601,1.49372384937238,"OSUR",0.623376623376623,0.363636363636364,0.720779096238548,0.271047924309137
"99",2009-05-26,0.939890710382514,1.60146443514644,"OSUR",0.952380952380952,0.935064935064935,0.856353022710225,0.763001398956155
"100",2009-05-27,0.901639344262295,1.58995815899582,"OSUR",0.186147186147186,0.45021645021645,0.14509190527365,0.634691281010374
"101",2009-05-28,0.923497267759563,1.60878661087866,"OSUR",0.761904761904762,0.662337662337662,0.745456914098284,0.541212874723871
"102",2009-05-29,0.994535519125683,1.69351464435146,"OSUR",0.935064935064935,0.891774891774892,0.866752207161286,0.695361502268719
"103",2009-06-01,1.0327868852459,1.75941422594142,"OSUR",0.848484848484849,0.835497835497836,0.754022567511446,0.718479745106619
"104",2009-06-02,1.09289617486339,1.68933054393305,"OSUR",0.909090909090909,0.181818181818182,0.966231552767329,0.0730893354411432
"105",2009-06-03,1.09562841530055,1.65690376569038,"OSUR",0.571428571428571,0.311688311688312,0.689687038358048,0.236972088468352
"106",2009-06-04,1.09289617486339,1.59309623430962,"OSUR",0.523809523809524,0.194805194805195,0.70309473264085,0.133771070982784
"107",2009-06-05,1.08743169398907,1.60983263598326,"OSUR",0.506493506493506,0.653679653679654,0.418433567751756,0.688749443673266
"108",2009-06-08,1.04644808743169,1.61192468619247,"OSUR",0.199134199134199,0.571428571428571,0.126552141865598,0.744485559225477
"109",2009-06-09,0.989071038251366,1.63389121338912,"OSUR",0.125541125541126,0.683982683982684,0.0566319636081598,0.853994233407251
"110",2009-06-10,0.959016393442623,1.63598326359833,"OSUR",0.233766233766234,0.571428571428571,0.15826177959084,0.727837717893369
"111",2009-06-11,0.986338797814208,1.62238493723849,"OSUR",0.796536796536797,0.432900432900433,0.868608547131909,0.261464812472619
"112",2009-06-12,0.997267759562841,1.61820083682008,"OSUR",0.675324675324675,0.532467532467532,0.702207930130946,0.436902736711068
"113",2009-06-15,0.942622950819672,1.58682008368201,"OSUR",0.125541125541126,0.311688311688312,0.119813557194921,0.531671397870646
"114",2009-06-16,0.896174863387978,1.53033472803347,"OSUR",0.138528138528139,0.212121212121212,0.186416972889648,0.375327456705775
"115",2009-06-17,0.953551912568306,1.49686192468619,"OSUR",0.922077922077922,0.294372294372294,0.970183871068884,0.123917300374563
"116",2009-06-18,0.975409836065574,1.47384937238494,"OSUR",0.748917748917749,0.359307359307359,0.844421171036954,0.216593211415612
"117",2009-06-19,0.978142076502732,1.46129707112971,"OSUR",0.58008658008658,0.432900432900433,0.637655639341942,0.371053497346631
"118",2009-06-22,0.912568306010929,1.34728033472803,"OSUR",0.0735930735930736,0.0476190476190476,0.262772085474985,0.130134249353243
"119",2009-06-23,0.898907103825137,1.38284518828452,"OSUR",0.385281385281385,0.787878787878788,0.223868219886238,0.871689617468395
"120",2009-06-24,0.896174863387978,1.44665271966527,"OSUR",0.523809523809524,0.878787878787879,0.293066740952903,0.923596744440284
"121",2009-06-25,0.691256830601093,1.53451882845188,"OSUR",0,0.917748917748918,1e-10,0.849535172601238
"122",2009-06-26,0.718579234972678,1.60983263598326,"OSUR",0.848484848484849,0.887445887445887,0.693391723859301,0.811253756299701
"123",2009-06-29,0.685792349726776,1.60146443514644,"OSUR",0.155844155844156,0.480519480519481,0.106922230262342,0.686388236824078
"124",2009-06-30,0.674863387978142,1.60878661087866,"OSUR",0.367965367965368,0.606060606060606,0.283380071627354,0.70003643678546
"125",2009-07-01,0.715846994535519,1.66004184100418,"OSUR",0.922077922077922,0.813852813852814,0.896159434082642,0.57405897809313
