"","X1","TJX","DHR","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,1.07563805104408,0.884256055363322,"DHR",0.987012987012987,0.978354978354978,0.866749236803576,0.637741908127268
"47",2009-03-11,1.10208816705336,0.901730103806228,"DHR",0.83982683982684,0.865800865800866,0.61507178642675,0.7348691445011
"48",2009-03-12,1.14106728538283,0.941522491349481,"DHR",0.909090909090909,0.952380952380952,0.532630151845553,0.872695398331732
"49",2009-03-13,1.15266821345708,0.936159169550173,"DHR",0.658008658008658,0.380952380952381,0.825240977690486,0.188833765117757
"50",2009-03-16,1.11276102088167,0.934948096885813,"DHR",0.103896103896104,0.467532467532468,0.0364108636703161,0.857525293378092
"51",2009-03-17,1.14292343387471,0.956055363321799,"DHR",0.865800865800866,0.883116883116883,0.643278266470568,0.732526943723123
"52",2009-03-18,1.17215777262181,0.968685121107267,"DHR",0.848484848484849,0.774891774891775,0.787969316183084,0.504172787686254
"53",2009-03-19,1.16519721577726,0.946885813148789,"DHR",0.432900432900433,0.155844155844156,0.783364552397898,0.083041477308483
"54",2009-03-20,1.14477958236659,0.927335640138408,"DHR",0.264069264069264,0.168831168831169,0.537915811996512,0.203296849810478
"55",2009-03-23,1.18236658932715,0.9719723183391,"DHR",0.9004329004329,0.956709956709957,0.47743368953587,0.90161781140006
"56",2009-03-24,1.20371229698376,0.954152249134948,"DHR",0.774891774891775,0.199134199134199,0.95494449544301,0.04008108481563
"57",2009-03-25,1.19721577726218,0.96159169550173,"DHR",0.441558441558442,0.675324675324675,0.240020440844378,0.805396203482195
"58",2009-03-26,1.25150812064965,0.976297577854671,"DHR",0.939393939393939,0.813852813852814,0.932936664323057,0.345816212967121
"59",2009-03-27,1.23155452436195,0.95916955017301,"DHR",0.268398268398268,0.212121212121212,0.47131520644025,0.279802140651289
"60",2009-03-30,1.19443155452436,0.931660899653979,"DHR",0.125541125541126,0.108225108225108,0.354168344701031,0.260299919621408
"61",2009-03-31,1.18979118329466,0.938062283737024,"DHR",0.463203463203463,0.662337662337662,0.276739672166736,0.774828305843479
"62",2009-04-01,1.18886310904872,0.908477508650519,"DHR",0.502164502164502,0.0909090909090909,0.885141984826585,0.025837314583899
"63",2009-04-02,1.21299303944316,0.941522491349481,"DHR",0.800865800865801,0.948051948051948,0.296085756740994,0.952844665953463
"64",2009-04-03,1.23805104408353,0.931487889273356,"DHR",0.80952380952381,0.303030303030303,0.953080922745913,0.0714596196069506
"65",2009-04-06,1.20371229698376,0.935121107266436,"DHR",0.142857142857143,0.61038961038961,0.0380370533097222,0.907050870201872
"66",2009-04-07,1.19489559164733,0.913494809688581,"DHR",0.415584415584416,0.151515151515152,0.771723002099238,0.0849157801811461
"67",2009-04-08,1.23897911832947,0.915743944636678,"DHR",0.917748917748918,0.575757575757576,0.970742221638225,0.148094198899576
"68",2009-04-09,1.27981438515081,0.978892733564014,"DHR",0.9004329004329,0.978354978354978,0.331222470771414,0.966093734936658
"69",2009-04-13,1.26635730858469,0.963321799307958,"DHR",0.350649350649351,0.220779220779221,0.600129270019773,0.210778408384974
"70",2009-04-14,1.2491879350348,0.941522491349481,"DHR",0.298701298701299,0.151515151515152,0.62766454243469,0.144248795105047
"71",2009-04-15,1.25429234338747,0.926470588235294,"DHR",0.58008658008658,0.220779220779221,0.85213099034022,0.0887945862667709
"72",2009-04-16,1.28259860788863,0.95,"DHR",0.831168831168831,0.9004329004329,0.504213888619842,0.834783823154333
