"","X1","KRNY","TR","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.678456591639871,0.767947225455957,"KRNY",0.991341991341991,0.787878787878788,0.995129886274687,0.190186308284943
"47",2009-03-11,0.672829581993569,0.772991850989523,"KRNY",0.316017316017316,0.649350649350649,0.228069067967552,0.764876183388917
"48",2009-03-12,0.721061093247588,0.806752037252619,"KRNY",0.987012987012987,0.961038961038961,0.933912858331199,0.619285952414985
"49",2009-03-13,0.743569131832797,0.83081102056655,"KRNY",0.904761904761905,0.878787878787879,0.802718602820855,0.709599412487728
"50",2009-03-16,0.728295819935691,0.828482731858751,"KRNY",0.151515151515152,0.437229437229437,0.121606929432028,0.642564599099896
"51",2009-03-17,0.803054662379421,0.859526581296081,"KRNY",1,0.926406926406926,0.9999999999,1.13815146851604e-05
"52",2009-03-18,0.856913183279743,0.846720993403182,NA,0.978354978354978,0.233766233766234,0.997382033342186,0.0292096578463525
"53",2009-03-19,0.843247588424437,0.838183934807916,NA,0.19047619047619,0.311688311688312,0.20817658627143,0.45605240396928
"54",2009-03-20,0.802250803858521,0.824602250679084,NA,0.0303030303030303,0.220779220779221,0.0252236786985212,0.630216530936226
"55",2009-03-23,0.916398713826367,0.856034148234381,NA,1,0.939393939393939,0.9999999999,1.32204240050893e-05
"56",2009-03-24,0.854501607717042,0.838571982925883,NA,0.025974025974026,0.164502164502165,0.0273717395246929,0.581860898819611
"57",2009-03-25,0.895498392282958,0.851765618936748,NA,0.939393939393939,0.770562770562771,0.933743424841881,0.437493479312942
"58",2009-03-26,0.919614147909968,0.856034148234381,NA,0.87012987012987,0.61038961038961,0.895494680449511,0.3735639604554
"59",2009-03-27,0.872186495176849,0.844392704695382,NA,0.025974025974026,0.242424242424242,0.0187160917765929,0.673139364785286
"60",2009-03-30,0.854501607717042,0.835855646100116,NA,0.151515151515152,0.311688311688312,0.156750542790154,0.494646039232646
"61",2009-03-31,0.842443729903537,0.842840512223516,NA,0.216450216450216,0.67965367965368,0.12741543100144,0.83116918272907
"62",2009-04-01,0.901125401929261,0.846720993403182,NA,0.982683982683983,0.61038961038961,0.994243850728673,0.137856915266223
"63",2009-04-02,0.962218649517685,0.890570430733411,NA,0.978354978354978,0.96969696969697,0.859204941809645,0.759272188839013
"64",2009-04-03,0.956591639871383,0.905316259216143,NA,0.372294372294372,0.787878787878788,0.216777340789219,0.875861751231864
"65",2009-04-06,0.927652733118971,0.894450911913077,NA,0.0952380952380952,0.272727272727273,0.0958977863652425,0.52034710845044
"66",2009-04-07,0.889067524115756,0.889406286379511,NA,0.051948051948052,0.376623376623377,0.0325057379967166,0.714121789243609
"67",2009-04-08,0.884244372990354,0.899495537446643,NA,0.380952380952381,0.727272727272727,0.256886413375952,0.817895376814124
"68",2009-04-09,0.938102893890675,0.917345750873108,NA,0.965367965367965,0.805194805194805,0.96178641569031,0.392123680759916
"69",2009-04-13,0.941318327974277,0.921226232052775,NA,0.575757575757576,0.601731601731602,0.546417474761342,0.592415586432642
"70",2009-04-14,0.884244372990354,0.902599922390376,NA,0.025974025974026,0.168831168831169,0.0266582908302644,0.587913255628794
"71",2009-04-15,0.917202572347267,0.922002328288708,NA,0.922077922077922,0.835497835497836,0.87584438985313,0.588239996677808
"72",2009-04-16,0.952572347266881,0.943733022894839,NA,0.922077922077922,0.844155844155844,0.869825969091057,0.604295792644642
"73",2009-04-17,0.982315112540193,0.944509119130772,NA,0.904761904761905,0.523809523809524,0.945723435168125,0.246663714701429
"74",2009-04-20,0.87620578778135,0.926658905704307,NA,0.00432900432900433,0.181818181818182,0.00210649373812077,0.800821789941946
"75",2009-04-21,0.966237942122186,0.947613504074505,NA,1,0.83982683982684,0.9999999999,5.83416025234929e-06
"76",2009-04-22,0.931672025723473,0.939076445479239,NA,0.0649350649350649,0.329004329004329,0.0494547953647598,0.642560292750977
"77",2009-04-23,0.878617363344051,0.934807916181607,NA,0.025974025974026,0.411255411255411,0.0115732706871732,0.803050889096399
"78",2009-04-24,0.927652733118971,0.913465269693442,NA,0.961038961038961,0.155844155844156,0.994809284630463,0.0225501751631246
"79",2009-04-27,0.881028938906752,0.898331393092743,NA,0.025974025974026,0.220779220779221,0.0204555038315866,0.650901014692675
"80",2009-04-28,0.894694533762058,0.910748932867676,NA,0.774891774891775,0.757575757575758,0.70167751892113,0.663471283807125
"81",2009-04-29,0.938906752411576,0.946449359720605,NA,0.943722943722944,0.943722943722944,0.790988779207829,0.790988779207829
"82",2009-04-30,0.896302250803859,0.944897167248739,NA,0.0346320346320346,0.471861471861472,0.0151595408908995,0.818913634469061
"83",2009-05-01,0.845659163987138,0.930151338766007,NA,0.025974025974026,0.229437229437229,0.0197171531482934,0.660026146254716
"84",2009-05-04,0.889871382636656,0.941792782305006,NA,0.948051948051948,0.735930735930736,0.953614244703186,0.366604198101307
"85",2009-05-05,0.866559485530547,0.916181606519208,NA,0.125541125541126,0.12987012987013,0.231733510071139,0.245258550967446
"86",2009-05-06,0.872186495176849,0.89755529685681,NA,0.627705627705628,0.164502164502165,0.811382406942283,0.0963933938459665
"87",2009-05-07,0.853697749196141,0.900659681800543,NA,0.142857142857143,0.593073593073593,0.0847078474441417,0.795162568161471
"88",2009-05-08,0.892282958199357,0.915793558401242,NA,0.939393939393939,0.787878787878788,0.928109603845538,0.462653145259135
"89",2009-05-11,0.869774919614148,0.908808692277843,NA,0.125541125541126,0.346320346320346,0.113904595240821,0.567777553299879
"90",2009-05-12,0.87459807073955,0.92976329064804,NA,0.614718614718615,0.844155844155844,0.4093259494382,0.865381151855602
"91",2009-05-13,0.826366559485531,0.919285991462941,NA,0.025974025974026,0.294372294372294,0.0156429091429022,0.719947622055092
"92",2009-05-14,0.881832797427653,0.912301125339542,NA,0.978354978354978,0.346320346320346,0.996414538585205,0.0543386069950466
"93",2009-05-15,0.879421221864952,0.907256499805976,NA,0.424242424242424,0.380952380952381,0.476009449974351,0.399915147554012
"94",2009-05-18,0.904340836012862,0.909584788513776,NA,0.887445887445887,0.562770562770563,0.924009450419818,0.303268262041851
"95",2009-05-19,0.87459807073955,0.895615056266977,NA,0.0779220779220779,0.233766233766234,0.0839687221795818,0.501276062832816
"96",2009-05-20,0.869774919614148,0.880093131548312,NA,0.372294372294372,0.212121212121212,0.516048597870816,0.211595892538131
"97",2009-05-21,0.852090032154341,0.874272409778813,NA,0.151515151515152,0.359307359307359,0.141402152310158,0.554269003416239
"98",2009-05-22,0.836816720257235,0.875824602250679,NA,0.177489177489178,0.545454545454545,0.124160568331634,0.731730825412433
"99",2009-05-26,0.89951768488746,0.892510671323244,NA,0.987012987012987,0.805194805194805,0.990138114567868,0.251061644298624
"100",2009-05-27,0.840836012861736,0.870779976717113,NA,0.025974025974026,0.142857142857143,0.0316610488460795,0.549086806652759
"101",2009-05-28,0.861736334405145,0.873108265424913,NA,0.852813852813853,0.562770562770563,0.88986899921198,0.343732842191942
"102",2009-05-29,0.901929260450161,0.873108265424913,NA,0.939393939393939,0.515151515151515,0.972557314713326,0.190255000018266
"103",2009-06-01,0.918810289389068,0.890958478851378,NA,0.800865800865801,0.813852813852814,0.691467474178663,0.723346547558369
"104",2009-06-02,0.92604501607717,0.903764066744276,NA,0.645021645021645,0.766233766233766,0.521358585943708,0.758991287186035
"105",2009-06-03,0.934887459807074,0.892510671323244,NA,0.683982683982684,0.268398268398268,0.815726062444803,0.170567602042721
"106",2009-06-04,0.95096463022508,0.891346526969344,NA,0.783549783549784,0.480519480519481,0.842535525003573,0.320895056025159
"107",2009-06-05,0.952572347266881,0.894062863795111,NA,0.54978354978355,0.575757575757576,0.529107959082093,0.574553803987095
"108",2009-06-08,0.945337620578778,0.900659681800543,NA,0.341991341991342,0.67965367965368,0.24128017665659,0.784879120666986
"109",2009-06-09,0.942926045016077,0.89755529685681,NA,0.437229437229437,0.41991341991342,0.47193208051386,0.441773419947191
"110",2009-06-10,0.892282958199357,0.883973612727978,NA,0.025974025974026,0.233766233766234,0.019370136276153,0.664470865305573
"111",2009-06-11,0.909163987138264,0.882033372138145,NA,0.800865800865801,0.454545454545455,0.86687130849022,0.282945570737491
"112",2009-06-12,0.926848874598071,0.885137757081878,NA,0.80952380952381,0.593073593073593,0.833408580632607,0.420208759461244
"113",2009-06-15,0.896302250803859,0.86883973612728,NA,0.0779220779220779,0.186147186147186,0.10176123971099,0.429840704362061
"114",2009-06-16,0.856913183279743,0.850601474582848,NA,0.0346320346320346,0.164502164502165,0.0401718107827383,0.536150420510512
"115",2009-06-17,0.872990353697749,0.855258051998448,NA,0.800865800865801,0.619047619047619,0.813254544630554,0.458716789332097
"116",2009-06-18,0.895498392282958,0.864571206829647,NA,0.865800865800866,0.722943722943723,0.850310307681999,0.516017189177003
"117",2009-06-19,0.87459807073955,0.871944121071013,NA,0.125541125541126,0.688311688311688,0.058554336143351,0.873913845601338
"118",2009-06-22,0.87379421221865,0.868451688009313,NA,0.463203463203463,0.41991341991342,0.503918455147545,0.428876279928954
"119",2009-06-23,0.884244372990354,0.863407062475747,NA,0.714285714285714,0.372294372294372,0.808142693698656,0.254992534367262
"120",2009-06-24,0.877813504823151,0.856422196352348,NA,0.346320346320346,0.329004329004329,0.405528033634278,0.37367084691386
"121",2009-06-25,0.920418006430868,0.873884361660846,NA,0.939393939393939,0.813852813852814,0.917965454457015,0.503668916984503
"122",2009-06-26,0.978295819935691,0.86418315871168,"TR",0.96969696969697,0.294372294372294,0.994736161969435,0.0507371893970162
"123",2009-06-29,0.926848874598071,0.870391928599146,"TR",0.025974025974026,0.670995670995671,0.00680151700425624,0.927436471138728
"124",2009-06-30,0.919614147909968,0.880481179666279,"TR",0.337662337662338,0.727272727272727,0.216165496867385,0.831621516404314
"125",2009-07-01,0.922025723472669,0.897943344974777,"TR",0.575757575757576,0.805194805194805,0.404617846642003,0.83469542183124
