,ARUN,MCRS
2008-07-14,0.39142335766423353,0.4306049822064057
2008-07-15,0.4078467153284671,0.44217081850533807
2008-07-16,0.41195255474452547,0.456405693950178
2008-07-17,0.41332116788321166,0.46026097271648875
2008-07-18,0.40875912408759124,0.45744365361803085
2008-07-21,0.4105839416058394,0.4541814946619217
2008-07-22,0.4032846715328467,0.4620403321470937
2008-07-23,0.46715328467153283,0.4759786476868328
2008-07-24,0.46715328467153283,0.4664887307236062
2008-07-25,0.5082116788321168,0.4744958481613286
2008-07-28,0.48448905109489043,0.46589561091340453
2008-07-29,0.5036496350364963,0.47479240806642947
2008-07-30,0.5282846715328466,0.4733096085409253
2008-07-31,0.531934306569343,0.4697508896797153
2008-08-01,0.5483576642335766,0.46129893238434166
2008-08-04,0.5392335766423357,0.4638196915776987
