,DK,TSO
2008-07-14,0.4611244019138756,0.40798747063429913
2008-07-15,0.46531100478468906,0.4205168363351605
2008-07-16,0.48863636363636365,0.4403549986948577
2008-07-17,0.47129186602870815,0.4659357870007831
2008-07-18,0.451555023923445,0.4356564865570347
2008-07-21,0.47308612440191394,0.46097624641085877
2008-07-22,0.4964114832535886,0.4633255024797703
2008-07-23,0.49521531100478466,0.43513442965283217
2008-07-24,0.4611244019138756,0.4072043852779953
2008-07-25,0.47966507177033496,0.40381101540067865
2008-07-28,0.4611244019138756,0.39937353171495693
2008-07-29,0.47846889952153115,0.41190289741581826
2008-07-30,0.47966507177033496,0.4309579744192117
2008-07-31,0.4778708133971292,0.4030279300443748
2008-08-01,0.4760765550239235,0.40015661707126077
2008-08-04,0.46052631578947373,0.3894544505351083
