"","X1","PFG","M","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.249152542372881,0.619307832422586,"PFG",0.246753246753247,0.38961038961039,0.205515888545437,0.608792841535468
"46",2009-03-10,0.308050847457627,0.670309653916211,"PFG",0.987012987012987,0.943722943722944,0.972775211239322,0.356912641411012
"47",2009-03-11,0.319067796610169,0.714936247723133,"PFG",0.818181818181818,0.922077922077922,0.418871333418798,0.91217746149433
"48",2009-03-12,0.347457627118644,0.757741347905282,"PFG",0.935064935064935,0.913419913419913,0.809915436659659,0.635697607603268
"49",2009-03-13,0.329237288135593,0.758652094717668,"PFG",0.147186147186147,0.541125541125541,0.0506251304368415,0.841301305909584
"50",2009-03-16,0.31271186440678,0.72040072859745,"PFG",0.151515151515152,0.151515151515152,0.309757110366918,0.309757110366918
"51",2009-03-17,0.344915254237288,0.760473588342441,"PFG",0.939393939393939,0.887445887445887,0.880580358050664,0.520964691855494
"52",2009-03-18,0.377118644067797,0.827868852459016,"PFG",0.939393939393939,0.948051948051948,0.690688873807336,0.781639517868575
"53",2009-03-19,0.329661016949153,0.797814207650273,"PFG",0.051948051948052,0.242424242424242,0.0276358279134025,0.735812538925263
"54",2009-03-20,0.296610169491525,0.728597449908925,"PFG",0.0735930735930736,0.051948051948052,0.375200828208296,0.171085470263473
"55",2009-03-23,0.35635593220339,0.806921675774135,"PFG",0.978354978354978,0.978354978354978,0.755161460429401,0.755161460429401
"56",2009-03-24,0.367796610169492,0.826047358834244,"PFG",0.805194805194805,0.70995670995671,0.792848707692985,0.476115292970236
"57",2009-03-25,0.386440677966102,0.798724954462659,"PFG",0.874458874458874,0.281385281385281,0.970593422732571,0.0763533417829956
"58",2009-03-26,0.420338983050847,0.879781420765027,"PFG",0.935064935064935,0.978354978354978,0.426285511803784,0.948482693965653
"59",2009-03-27,0.436440677966102,0.884335154826958,"PFG",0.835497835497836,0.584415584415584,0.9093495922222,0.266090193365586
"60",2009-03-30,0.338135593220339,0.811475409836066,"PFG",0.00432900432900433,0.0562770562770563,0.00412591642473275,0.774808419311059
"61",2009-03-31,0.346610169491525,0.810564663023679,"PFG",0.761904761904762,0.519480519480519,0.859581575510787,0.267847167975269
"62",2009-04-01,0.345762711864407,0.822404371584699,"PFG",0.506493506493506,0.649350649350649,0.35502662463566,0.72700916679106
"63",2009-04-02,0.372033898305085,0.927140255009107,"PFG",0.926406926406926,0.982683982683983,0.352137144154177,0.971429566545561
"64",2009-04-03,0.446186440677966,0.943533697632058,"PFG",0.978354978354978,0.670995670995671,0.995830298325234,0.156839795528221
"65",2009-04-06,0.450423728813559,0.906193078324226,"PFG",0.632034632034632,0.207792207792208,0.870099766989471,0.0726013241010777
"66",2009-04-07,0.430084745762712,0.883424408014572,"PFG",0.173160173160173,0.346320346320346,0.131193358332385,0.644008209986191
"67",2009-04-08,0.521610169491525,0.939890710382514,"PFG",0.978354978354978,0.922077922077922,0.961816810275535,0.380879543796447
"68",2009-04-09,0.613135593220339,1.08196721311475,"PFG",0.965367965367965,0.982683982683983,0.547687640679355,0.90333872449529
"69",2009-04-13,0.634322033898305,1.1775956284153,"PFG",0.813852813852814,0.948051948051948,0.32820915112603,0.958008458229288
"70",2009-04-14,0.552542372881356,1.091985428051,"PFG",0.051948051948052,0.0735930735930736,0.171085470263473,0.375200828208296
"71",2009-04-15,0.583898305084746,1.0528233151184,"PFG",0.896103896103896,0.255411255411255,0.977642673128807,0.0673038632446219
"72",2009-04-16,0.583050847457627,1.14025500910747,"PFG",0.515151515151515,0.943722943722944,0.138374539436821,0.987809831205078
"73",2009-04-17,0.623728813559322,1.19307832422587,"PFG",0.917748917748918,0.831168831168831,0.892318860921892,0.459226766355552
"74",2009-04-20,0.547457627118644,1.08105646630237,"PFG",0.051948051948052,0.0432900432900433,0.312893799299435,0.207396074731382
"75",2009-04-21,0.593220338983051,1.1384335154827,"PFG",0.935064935064935,0.87012987012987,0.891990723358487,0.489747265341453
"76",2009-04-22,0.602118644067797,1.15573770491803,"PFG",0.670995670995671,0.649350649350649,0.621876867543704,0.558176303731312
"77",2009-04-23,0.630084745762712,1.14936247723133,"PFG",0.861471861471861,0.489177489177489,0.950508832880696,0.171997571270115
"78",2009-04-24,0.648728813559322,1.20491803278689,"PFG",0.783549783549784,0.835497835497836,0.563175453636754,0.768348726260643
"79",2009-04-27,0.622033898305085,1.17486338797814,"PFG",0.19047619047619,0.350649350649351,0.152259686590673,0.62591094807705
"80",2009-04-28,0.600847457627119,1.14571948998179,"PFG",0.229437229437229,0.354978354978355,0.206701623169593,0.579059930467128
"81",2009-04-29,0.663559322033898,1.18123861566485,"PFG",0.939393939393939,0.731601731601732,0.969170208669716,0.259691926704072
"82",2009-04-30,0.692372881355932,1.24590163934426,"PFG",0.848484848484849,0.878787878787879,0.618510561865664,0.770999417535314
"83",2009-05-01,0.653813559322034,1.2304189435337,"PFG",0.134199134199134,0.441558441558442,0.0578099734167888,0.784522752406262
