,ESS,EQR
2008-07-15,0.9703006825308984,0.9703225806451613
2008-07-16,1.050083010514665,1.0446451612903225
2008-07-17,1.0656705404906843,1.0660645161290323
2008-07-18,1.0687142593617414,1.065806451612903
2008-07-21,1.087898911639919,1.0776774193548386
2008-07-22,1.084394023242944,1.1140645161290323
2008-07-23,1.1386275594908688,1.1494193548387097
2008-07-24,1.0727725511898174,1.0655483870967741
2008-07-25,1.0873455082088175,1.1024516129032258
2008-07-28,1.0503597122302157,1.0701935483870968
2008-07-29,1.111418557461723,1.1280000000000001
2008-07-30,1.1128020660394762,1.119741935483871
2008-07-31,1.1192584394023242,1.1140645161290323
2008-08-01,1.131710016602103,1.1385806451612903
2008-08-04,1.0966611326323557,1.1383225806451613
2008-08-05,1.1401033019738056,1.209548387096774
2008-08-06,1.1015495296070836,1.1860645161290322
