"","X1","GRT","PEI","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.35036496350365,0.382559774964838,NA,0.051948051948052,0.952380952380952,0.0119183266575901,0.989500975098368
"46",2009-03-10,0.463503649635036,0.506329113924051,NA,0.995670995670996,1,0.0632881548284249,0.9999999999
"47",2009-03-11,0.441605839416058,0.486638537271449,NA,0.168831168831169,0.194805194805195,0.288412769632097,0.432600373362839
"48",2009-03-12,0.510948905109489,0.538677918424754,NA,0.961038961038961,0.952380952380952,0.77441736722171,0.611328561074347
"49",2009-03-13,0.510948905109489,0.490857946554149,NA,0.567099567099567,0.0779220779220779,0.927856049091258,0.0102413688458608
"50",2009-03-16,0.467153284671533,0.452883263009845,NA,0.0735930735930736,0.0995670995670996,0.199930148050503,0.456782536218808
"51",2009-03-17,0.525547445255474,0.49929676511955,NA,0.943722943722944,0.952380952380952,0.621649685234004,0.759762392828636
"52",2009-03-18,0.529197080291971,0.568213783403657,NA,0.623376623376623,0.961038961038961,0.097791568439434,0.994694199019911
"53",2009-03-19,0.532846715328467,0.466947960618847,NA,0.623376623376623,0.0173160173160173,0.942871800553174,0.00100346848867073
"54",2009-03-20,0.416058394160584,0.40084388185654,NA,0.0173160173160173,0.0216450216450216,0.21170147817691,0.38624550812491
"55",2009-03-23,0.529197080291971,0.526019690576653,NA,0.991341991341991,1,0.0632798870602627,0.9999999999
"56",2009-03-24,0.532846715328467,0.493670886075949,NA,0.623376623376623,0.138528138528139,0.929584566903748,0.0235680548991407
"57",2009-03-25,0.496350364963504,0.507735583684951,NA,0.0995670995670996,0.818181818181818,0.012829108875787,0.971740186362503
"58",2009-03-26,0.536496350364963,0.575246132208157,NA,0.935064935064935,0.961038961038961,0.475985915338252,0.867094521973055
"59",2009-03-27,0.448905109489051,0.531645569620253,"GRT",0.0303030303030303,0.0995670995670996,0.0349816050642818,0.735640343208853
"60",2009-03-30,0.467153284671533,0.472573839662447,"GRT",0.865800865800866,0.0476190476190476,0.974384115236029,0.00599835009022086
"61",2009-03-31,0.510948905109489,0.49929676511955,NA,0.939393939393939,0.913419913419913,0.820539323276089,0.526788099545739
"62",2009-04-01,0.485401459854015,0.533052039381153,NA,0.147186147186147,0.926406926406926,0.0244911787694459,0.990489535603959
"63",2009-04-02,0.583941605839416,0.582278481012658,NA,0.978354978354978,0.948051948051948,0.935309015190238,0.359505487120743
"64",2009-04-03,0.635036496350365,0.689170182841069,NA,0.939393939393939,0.96969696969697,0.412382734522982,0.906659757368145
"65",2009-04-06,0.660583941605839,0.787623066104079,"GRT",0.865800865800866,0.961038961038961,0.243056724987018,0.96777135114174
"66",2009-04-07,0.569343065693431,0.728551336146273,"GRT",0.0346320346320346,0.103896103896104,0.0421486203492698,0.718534288768804
"67",2009-04-08,0.635036496350365,0.682137834036568,"GRT",0.943722943722944,0.134199134199134,0.992728421416397,0.0243736811198124
"68",2009-04-09,0.748175182481752,0.814345991561181,"GRT",0.974025974025974,0.974025974025974,0.703247479027521,0.703247479027521
"69",2009-04-13,0.81021897810219,0.841068917018284,"GRT",0.935064935064935,0.831168831168831,0.942094182206814,0.286920990060615
"70",2009-04-14,0.718978102189781,0.738396624472574,"GRT",0.051948051948052,0.025974025974026,0.583431343120361,0.0928582176383904
"71",2009-04-15,0.835766423357664,0.832630098452883,NA,0.961038961038961,0.956709956709957,0.739535670117731,0.653319156117873
"72",2009-04-16,1,0.89873417721519,"PEI",0.978354978354978,0.939393939393939,0.952396336083761,0.314750075757125
"73",2009-04-17,1.17153284671533,0.891701828410689,"PEI",0.965367965367965,0.424242424242424,0.997144902360758,0.0630229090550175
"74",2009-04-20,1.03649635036496,0.70464135021097,"PEI",0.0476190476190476,0.012987012987013,0.738240715405873,0.0274378757667138
"75",2009-04-21,1.0036496350365,0.843881856540084,"PEI",0.212121212121212,0.974025974025974,0.0399796444618423,0.997815313778125
"76",2009-04-22,1.01824817518248,0.866385372714487,"PEI",0.696969696969697,0.800865800865801,0.383278619887742,0.814914720579136
"77",2009-04-23,0.91970802919708,0.841068917018284,"PEI",0.0562770562770563,0.242424242424242,0.0215104768060173,0.823685191763947
"78",2009-04-24,0.941605839416058,0.945147679324894,NA,0.792207792207792,0.956709956709957,0.174432424216054,0.982837207704612
"79",2009-04-27,0.843065693430657,0.839662447257384,NA,0.0562770562770563,0.0476190476190476,0.378350314765997,0.240237607171363
"80",2009-04-28,0.87956204379562,0.876230661040788,NA,0.874458874458874,0.865800865800866,0.693518973903871,0.630961175164515
"81",2009-04-29,0.952554744525547,0.973277074542897,NA,0.935064935064935,0.956709956709957,0.517582449830064,0.838591451434894
"82",2009-04-30,0.894160583941606,1.09001406469761,"GRT",0.121212121212121,0.956709956709957,0.0244411022712037,0.994301753373059
"83",2009-05-01,0.83941605839416,0.925457102672293,"GRT",0.121212121212121,0.0216450216450216,0.819474490788343,0.0122254424708405
"84",2009-05-04,0.992700729927007,0.947960618846695,NA,0.974025974025974,0.774891774891775,0.994289254571813,0.126756691016131
"85",2009-05-05,0.927007299270073,0.943741209563994,NA,0.103896103896104,0.463203463203463,0.0221031124561134,0.88843850806212
"86",2009-05-06,0.978102189781022,0.977496483825598,NA,0.9004329004329,0.852813852813853,0.823006590679548,0.48143915489553
"87",2009-05-07,0.967153284671533,0.862165963431786,"PEI",0.428571428571429,0.0432900432900433,0.91085225697005,0.00535332617880898
"88",2009-05-08,1.18613138686131,0.942334739803094,"PEI",0.982683982683983,0.948051948051948,0.958758246715303,0.301845697647331
"89",2009-05-11,1.0985401459854,0.908579465541491,"PEI",0.0909090909090909,0.203463203463203,0.0798563950105381,0.691065001485807
"90",2009-05-12,1.02189781021898,0.852320675105485,"PEI",0.0952380952380952,0.138528138528139,0.181208971023358,0.507298896883497
"91",2009-05-13,0.992700729927007,0.713080168776371,"PEI",0.238095238095238,0.0173160173160173,0.893911298157854,0.00254521037803426
