,MLM,STNR
2008-07-15,0.7964601769911505,0.7289494787489976
2008-07-16,0.8413758557355151,0.7473937449879712
2008-07-17,0.9024878944732008,0.7751937984496124
2008-07-18,0.8560694606779096,0.7981823041967389
2008-07-21,0.8382033728502255,0.7976476877840151
2008-07-22,0.8722658206712306,0.8588612670408983
2008-07-23,0.890298881282351,0.8823843892007485
2008-07-24,0.8646685590248788,0.8479016305800589
2008-07-25,0.837952913675071,0.8527131782945737
2008-07-28,0.8059776256470196,0.8123496391339216
2008-07-29,0.871931875104358,0.8436246992782679
2008-07-30,0.9026548672566372,0.8449612403100776
2008-07-31,0.8763566538654199,0.8259823576583801
2008-08-01,0.8490566037735849,0.8561881849772789
2008-08-04,0.8499749540824846,0.8540497193263834
2008-08-05,0.8762731674737018,0.913124832932371
