,ISCA,TMK
2008-07-15,0.8496222851746932,0.9080811332904056
2008-07-16,0.8614258734655336,0.9385061171925306
2008-07-17,0.873229461756374,0.9504185447520928
2008-07-18,0.8722851746931067,0.9594333547971668
2008-07-21,0.8607176581680831,0.9417256922086285
2008-07-22,0.8970727101038716,0.9711848036059241
2008-07-23,0.9107648725212464,0.9806825499034129
2008-07-24,0.8845609065155807,0.9224082421120412
2008-07-25,0.8784230406043437,0.9238570508692853
2008-07-28,0.8765344664778093,0.9048615582743078
2008-07-29,0.8812559017941454,0.9375402446877013
2008-07-30,0.8774787535410765,0.9396329684481648
2008-07-31,0.8685080264400378,0.9344816484224082
2008-08-01,0.8687440982058545,0.9330328396651643
2008-08-04,0.8840887629839472,0.9248229233741146
2008-08-05,0.9022662889518414,0.951545396007727
