,ISLE,AKRX
2008-07-14,0.3915298184961106,0.5120967741935484
2008-07-15,0.38893690579083834,0.5362903225806451
2008-07-16,0.44165946413137425,0.5672043010752688
2008-07-17,0.4399308556611927,0.5967741935483871
2008-07-18,0.46931719965427826,0.592741935483871
2008-07-21,0.5133967156439067,0.5725806451612903
2008-07-22,0.5808124459809852,0.5981182795698925
2008-07-23,0.5790838375108038,0.6263440860215054
2008-07-24,0.5168539325842697,0.6196236559139785
2008-07-25,0.5280898876404495,0.6545698924731183
2008-07-28,0.5324114088159032,0.6491935483870968
2008-07-29,0.5540190146931719,0.6827956989247311
2008-07-30,0.5375972342264477,0.6854838709677419
2008-07-31,0.5738980121002593,0.6881720430107526
2008-08-01,0.564390665514261,0.6935483870967741
2008-08-04,0.5592048401037165,0.689516129032258
2008-08-05,0.5834053586862575,0.6814516129032258
2008-08-06,0.598962834917891,0.7352150537634408
2008-08-07,0.5704407951598962,0.6478494623655914
2008-08-08,0.6050129645635264,0.6948924731182795
2008-08-11,0.6663785652549697,0.7271505376344086
2008-08-12,0.6560069144338807,0.7163978494623655
2008-08-13,0.6136560069144338,0.6841397849462365
2008-08-14,0.6404494382022472,0.6760752688172043
2008-08-15,0.6637856525496975,0.6720430107526881
2008-08-18,0.6318063958513396,0.6626344086021505
2008-08-19,0.6041486603284356,0.6559139784946236
2008-08-20,0.5738980121002593,0.6317204301075269
2008-08-21,0.5687121866897148,0.6532258064516129
2008-08-22,0.6032843560933449,0.6451612903225806
2008-08-25,0.5799481417458945,0.6317204301075269
2008-08-26,0.5929127052722558,0.6330645161290323
2008-08-27,0.6024200518582541,0.6169354838709676
2008-08-28,0.6266205704407951,0.6411290322580644
2008-08-29,0.6188418323249784,0.6518817204301074
2008-09-02,0.6283491789109766,0.6384408602150538
2008-09-03,0.693171996542783,0.668010752688172
2008-09-04,0.7147796024200518,0.6599462365591398
2008-09-05,0.7087294727744166,0.6545698924731183
2008-09-08,0.7796024200518582,0.6706989247311828
2008-09-09,0.752808988764045,0.6478494623655914
2008-09-10,0.7847882454624028,0.6814516129032258
2008-09-11,0.756266205704408,0.6801075268817204
2008-09-12,0.7476231633535004,0.6774193548387096
2008-09-15,0.7009507346585998,0.6397849462365591
2008-09-16,0.6810717372515125,0.6760752688172043
2008-09-17,0.6378565254969749,0.6303763440860215
2008-09-18,0.648228176318064,0.6854838709677419
2008-09-19,0.6819360414866033,0.7405913978494623
2008-09-22,0.6430423509075195,0.6653225806451613
2008-09-23,0.648228176318064,0.6586021505376344
2008-09-24,0.6490924805531547,0.6465053763440859
2008-09-25,0.6750216076058773,0.6720430107526881
2008-09-26,0.668971477960242,0.6922043010752689
2008-09-29,0.6663785652549697,0.6841397849462365
2008-09-30,0.7796024200518582,0.689516129032258
2008-10-01,0.7484874675885912,0.6868279569892474
2008-10-02,0.7173725151253242,0.6465053763440859
2008-10-03,0.5522904062229904,0.6330645161290323
2008-10-06,0.5272255834053586,0.5739247311827956
2008-10-07,0.4243733794295592,0.4852150537634408
2008-10-08,0.4096802074330164,0.5174731182795699
2008-10-09,0.39757994814174585,0.4583333333333333
