,MRO,OKE
2008-07-15,0.8910165003055612,0.9631722117597824
2008-07-16,0.8867386433082094,0.9585687382297552
2008-07-17,0.8867386433082094,0.9474785519983261
2008-07-18,0.8836830311672438,0.9556392550742834
2008-07-21,0.8997759217763291,0.9719606612261981
2008-07-22,0.8918313302098186,0.9571039966520193
2008-07-23,0.869627215318802,0.9510357815442562
2008-07-24,0.8431452434304338,0.9460138104205901
2008-07-25,0.8669790181299654,0.939945595312827
2008-07-28,0.8629048686086779,0.9451768152333124
2008-07-29,0.8610715013240986,0.9365976145637163
2008-07-30,0.9193318394785088,0.9614982213852271
2008-07-31,1.007740884090446,0.9516635279347143
2008-08-01,0.9739254430637604,0.941410336890563
2008-08-04,0.9209614992870238,0.9332496338146056
2008-08-05,0.904053778773681,0.9481062983887844
