,PEP,CL
2008-07-15,0.9526369315705361,0.9158048263060196
2008-07-16,0.9601917768414936,0.9168655529037392
2008-07-17,0.9520557896266163,0.9241580482630602
2008-07-18,0.9503123637948568,0.9127552373375762
2008-07-21,0.9363649571407817,0.909440466719703
2008-07-22,0.961644631701293,0.9293290904269425
2008-07-23,0.9838733110562254,0.9295942720763722
2008-07-24,0.9792241755048672,0.928003182179793
2008-07-25,0.976609036757228,0.9175285070273137
2008-07-28,0.9691994769722504,0.9090426942455582
2008-07-29,0.9731221850937092,0.983160965261204
2008-07-30,0.9721051866918494,0.9940334128878281
2008-07-31,0.9670201946825513,0.984752055157783
2008-08-01,0.9680371930844108,0.9870060991779368
2008-08-04,0.9831468836263257,0.9932378679395385
2008-08-05,0.9954961499346215,1.005568814638027
