"","X1","CCK","PX","long_distance","Fx","Fy","MI_X","MI_Y"
"21",2009-02-02,0.958161157024793,0.989267980137754,NA,0.359307359307359,0.367965367965368,0.412672004291212,0.437263172643439
"22",2009-02-03,1.03305785123967,0.996956591382348,NA,0.978354978354978,0.649350649350649,0.994139306651812,0.0882482799499891
"23",2009-02-04,1.07076446280992,1.03988467083133,NA,0.917748917748918,0.926406926406926,0.695341127283927,0.754659599752188
"24",2009-02-05,1.07851239669421,1.07560467723851,NA,0.61038961038961,0.891774891774892,0.204859771148948,0.936260612895699
"25",2009-02-06,1.10847107438017,1.11532916866891,NA,0.861471861471861,0.9004329004329,0.596960512355561,0.788239461248324
"26",2009-02-09,1.11053719008264,1.12333813871536,NA,0.523809523809524,0.645021645021645,0.371693277862549,0.681016498821312
"27",2009-02-10,1.07747933884298,1.0871375941054,NA,0.147186147186147,0.12987012987013,0.376713861446054,0.286688500580488
"28",2009-02-11,1.09090909090909,1.08809867051097,NA,0.701298701298701,0.567099567099567,0.724010369453734,0.374985573814749
"29",2009-02-12,1.13378099173554,1.10027230498158,NA,0.922077922077922,0.701298701298701,0.942999353945809,0.249293598024966
"30",2009-02-13,1.1198347107438,1.08057023866731,NA,0.333333333333333,0.246753246753247,0.533443141187572,0.264416775623629
"31",2009-02-17,1.08006198347107,1.04004485023226,NA,0.103896103896104,0.116883116883117,0.279270376834183,0.360060153902825
"32",2009-02-18,1.08419421487603,1.02562870414865,NA,0.54978354978355,0.29004329004329,0.771913745712725,0.154904264826618
"33",2009-02-19,1.08161157024793,1.00768861124459,NA,0.45021645021645,0.25974025974026,0.688266465513021,0.182575548666841
"34",2009-02-20,1.07179752066116,1.01569758129105,NA,0.376623376623377,0.649350649350649,0.184318753275682,0.805650171706826
"35",2009-02-23,1.03254132231405,0.953547973730578,NA,0.103896103896104,0.0346320346320346,0.663517075234025,0.0648774273798456
"36",2009-02-24,1.0754132231405,0.975812910459715,"PX",0.926406926406926,0.848484848484849,0.872034342598972,0.483933084796164
"37",2009-02-25,1.08471074380165,0.949703668108281,"PX",0.640692640692641,0.181818181818182,0.919796261278672,0.040711791035423
"38",2009-02-26,1.08574380165289,0.937369854236745,"PX",0.502164502164502,0.303030303030303,0.703854611546636,0.200591612849344
"39",2009-02-27,1.08884297520661,0.909018100272305,"PX",0.532467532467532,0.151515151515152,0.882810238637838,0.0448151497448468
