,YUM,TWC
2008-07-15,1.0062429057888762,1.0128155339805824
2008-07-16,1.0349035187287172,1.0555339805825243
2008-07-17,0.9662315550510782,1.0636893203883495
2008-07-18,0.9974460839954596,1.083883495145631
2008-07-21,0.9937570942111238,1.039611650485437
2008-07-22,1.014472190692395,1.0299029126213592
2008-07-23,1.0201475595913734,1.0625242718446601
2008-07-24,0.9753121452894437,1.0415533980582525
2008-07-25,0.9696367763904654,1.0229126213592232
2008-07-28,0.9585698070374574,0.9918446601941747
2008-07-29,0.9883654937570941,1.0310679611650486
2008-07-30,1.014472190692395,1.0679611650485437
2008-07-31,1.0164585698070374,1.1040776699029127
2008-08-01,1.003121452894438,1.1203883495145632
2008-08-04,1.0170261066969353,1.1067961165048543
2008-08-05,1.0803064699205447,1.1611650485436893
