,XEL,DTE
2008-07-14,0.9485606418121756,0.9894471208992888
2008-07-15,0.9462010382255781,0.9869236063317275
2008-07-16,0.9339310995752712,0.9701766460197292
2008-07-17,0.9329872581406323,0.958017894012388
2008-07-18,0.9410099103350638,0.9616884606561138
2008-07-21,0.947144879660217,0.9683413626978664
2008-07-22,0.9537517697026899,0.9637531543932093
2008-07-23,0.9344030202925908,0.9470061940812112
2008-07-24,0.9362907031618688,0.9479238357421427
2008-07-25,0.9344030202925908,0.94127093370039
2008-07-28,0.9362907031618688,0.9403532920394586
2008-07-29,0.9386503067484663,0.9421885753613214
2008-07-30,0.9603586597451628,0.9532002752924982
2008-07-31,0.9466729589428975,0.9401238816242256
2008-08-01,0.9386503067484663,0.9132828630419821
2008-08-04,0.9353468617272298,0.9105299380591878
2008-08-05,0.9462010382255781,0.9389768295480614
