,IVZ,BBY
2008-07-14,0.7387927991528416,0.7699608004951517
2008-07-15,0.7257324391104836,0.7678976686610275
2008-07-16,0.7896223085068832,0.8040024757582009
2008-07-17,0.8175079421108367,0.8124613162781102
2008-07-18,0.8256265442993294,0.8046214153084382
2008-07-21,0.8333921637839746,0.7914173715700433
2008-07-22,0.8609248146840806,0.8066845471425624
2008-07-23,0.8542181433109778,0.81926965133072
2008-07-24,0.8065654782915638,0.7959562616051166
2008-07-25,0.7843275679491705,0.7899731792861564
2008-07-28,0.7695022943875751,0.79966989890654
2008-07-29,0.8330391810801272,0.8347431400866516
2008-07-30,0.8397458524532299,0.8332989478027646
2008-07-31,0.8220967172608542,0.8194759645141324
2008-08-01,0.8319802329685846,0.8200949040643697
2008-08-04,0.813625132368514,0.8209201567980194
2008-08-05,0.8806918460995411,0.8498040024757582
