"","X1","GLT","BEN","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.484848484848485,0.592942942942943,"GLT",0.155844155844156,0.731601731601732,0.0374758370777494,0.942025487727412
"46",2009-03-10,0.522466039707419,0.662912912912913,"GLT",0.974025974025974,0.978354978354978,0.696002968017603,0.788218780435154
"47",2009-03-11,0.509926854754441,0.671921921921922,"GLT",0.186147186147186,0.696969696969697,0.0584075128506072,0.914414895089419
"48",2009-03-12,0.541274817136886,0.733933933933934,"GLT",0.952380952380952,0.978354978354978,0.513475267743056,0.898109732637257
"49",2009-03-13,0.552769070010449,0.736336336336336,"GLT",0.787878787878788,0.571428571428571,0.842904872471502,0.336530867179238
"50",2009-03-16,0.528735632183908,0.696246246246246,"GLT",0.0909090909090909,0.103896103896104,0.239754923623148,0.319053399994903
"51",2009-03-17,0.570532915360502,0.712462462462463,"GLT",0.974025974025974,0.74025974025974,0.99102408303028,0.123209295494312
"52",2009-03-18,0.626959247648903,0.750750750750751,"GLT",0.995670995670996,0.887445887445887,0.998540118405218,0.065688195884181
"53",2009-03-19,0.64576802507837,0.708408408408408,"GLT",0.852813852813853,0.0909090909090909,0.988690003296778,0.00778158161319309
"54",2009-03-20,0.652037617554859,0.707057057057057,"GLT",0.675324675324675,0.502164502164502,0.742500576584817,0.363944780598309
"55",2009-03-23,0.736677115987461,0.810960960960961,"GLT",0.995670995670996,0.987012987012987,0.936595635601119,0.440367608938273
"56",2009-03-24,0.694879832810867,0.764414414414414,"GLT",0.0649350649350649,0.0822510822510823,0.206399147106374,0.343441261746597
"57",2009-03-25,0.713688610240334,0.808408408408409,"GLT",0.831168831168831,0.909090909090909,0.505406411690303,0.855731667640618
"58",2009-03-26,0.755485893416928,0.837537537537538,"GLT",0.948051948051948,0.822510822510823,0.942325903960652,0.336576730099977
"59",2009-03-27,0.709508881922675,0.813813813813814,"GLT",0.0562770562770563,0.229437229437229,0.0406212693188106,0.716269385690889
"60",2009-03-30,0.675026123301985,0.768018018018018,"GLT",0.0735930735930736,0.0909090909090909,0.214824291899008,0.338297979591348
"61",2009-03-31,0.652037617554859,0.808858858858859,"GLT",0.142857142857143,0.883116883116883,0.0139182931451839,0.98958694677982
"62",2009-04-01,0.663531870428422,0.81981981981982,"GLT",0.770562770562771,0.696969696969697,0.734473308442959,0.533752956956633
"63",2009-04-02,0.690700104493208,0.888138138138138,"GLT",0.913419913419913,0.978354978354978,0.335507574913809,0.957508708419505
"64",2009-04-03,0.683385579937304,0.902852852852853,"GLT",0.324675324675325,0.714285714285714,0.148829755049529,0.873130229156801
"65",2009-04-06,0.692789968652038,0.888588588588589,"GLT",0.735930735930736,0.350649350649351,0.881258815442263,0.15891076811152
"66",2009-04-07,0.667711598746081,0.84954954954955,"GLT",0.12987012987013,0.138528138528139,0.27208942756306,0.311860537636101
"67",2009-04-08,0.679205851619645,0.855855855855856,"GLT",0.766233766233766,0.627705627705628,0.7818157493383,0.436328024949884
"68",2009-04-09,0.719958202716823,0.926726726726727,"GLT",0.952380952380952,0.974025974025974,0.566551643319396,0.869699212985022
"69",2009-04-13,0.71264367816092,0.923423423423424,"GLT",0.333333333333333,0.467532467532468,0.295958816167149,0.594523902243749
"70",2009-04-14,0.672936259143156,0.889339339339339,"GLT",0.0649350649350649,0.181818181818182,0.0718409834655978,0.612594739889551
"71",2009-04-15,0.694879832810867,0.924474474474475,"GLT",0.87012987012987,0.831168831168831,0.768727850098847,0.609838332336562
"72",2009-04-16,0.726227795193312,0.916516516516517,"GLT",0.922077922077922,0.428571428571429,0.984333849412219,0.0768496948683911
"73",2009-04-17,0.729362591431557,0.915015015015015,"GLT",0.597402597402597,0.506493506493506,0.635957897218165,0.435627775562274
"74",2009-04-20,0.668756530825496,0.866366366366366,"GLT",0.0216450216450216,0.112554112554113,0.0239619206715506,0.735149071444449
"75",2009-04-21,0.716823406478579,0.919069069069069,"GLT",0.96969696969697,0.917748917748918,0.922512796512026,0.438343710346459
"76",2009-04-22,0.719958202716823,0.912012012012012,"GLT",0.597402597402597,0.441558441558442,0.682764612559126,0.34885853279699
"77",2009-04-23,0.722048066875653,0.932732732732733,"GLT",0.562770562770563,0.735930735930736,0.383714197605472,0.782648851465653
"78",2009-04-24,0.743991640543365,0.925825825825826,"GLT",0.857142857142857,0.441558441558442,0.948731442947335,0.142267433320524
"79",2009-04-27,0.746081504702194,0.909309309309309,"GLT",0.562770562770563,0.307359307359307,0.734106156559385,0.207711427268231
"80",2009-04-28,0.761755485893417,0.875675675675676,"GLT",0.787878787878788,0.181818181818182,0.958444346378031,0.0388486726782703
"81",2009-04-29,0.925809822361546,0.901501501501502,NA,1,0.805194805194805,0.9999999999,1.10658582297418e-09
"82",2009-04-30,0.927899686520376,0.908108108108108,NA,0.562770562770563,0.627705627705628,0.487948454151248,0.635163941214993
"83",2009-05-01,0.964472309299895,0.916816816816817,NA,0.904761904761905,0.649350649350649,0.94478327488304,0.244147584316019
"84",2009-05-04,1.03343782654127,0.955405405405406,NA,0.96969696969697,0.835497835497836,0.973621431000515,0.240784533612548
"85",2009-05-05,1.0355276907001,0.927777777777778,"BEN",0.562770562770563,0.229437229437229,0.790287842989526,0.126718659113121
"86",2009-05-06,1.03866248693835,0.93963963963964,"BEN",0.562770562770563,0.688311688311688,0.431815003767669,0.71931031131959
"87",2009-05-07,1.03134796238245,0.912312312312312,"BEN",0.380952380952381,0.229437229437229,0.579535799471452,0.207668175793547
"88",2009-05-08,1.10240334378265,0.978228228228228,"BEN",0.965367965367965,0.956709956709957,0.79298545257275,0.677762261875884
"89",2009-05-11,1.07941483803553,0.92987987987988,"BEN",0.229437229437229,0.116883116883117,0.535817628924413,0.132901076447558
"90",2009-05-12,1.11912225705329,0.937537537537538,"BEN",0.887445887445887,0.636363636363636,0.930547447745454,0.264515543326818
"91",2009-05-13,1.03657262277952,0.899249249249249,"BEN",0.0346320346320346,0.16017316017316,0.0305251048676742,0.721907910334575
"92",2009-05-14,1.0637408568443,0.909159159159159,"BEN",0.822510822510823,0.670995670995671,0.832932013276109,0.419325675374971
"93",2009-05-15,1.09195402298851,0.902402402402403,"BEN",0.826839826839827,0.441558441558442,0.927069439201739,0.168699648074137
"94",2009-05-18,1.13479623824451,0.973273273273273,"BEN",0.904761904761905,0.974025974025974,0.353440293288381,0.950888205198515
"95",2009-05-19,1.16300940438871,0.948798798798799,"BEN",0.80952380952381,0.246753246753247,0.955426335459862,0.0608629533765218
"96",2009-05-20,1.12225705329154,0.926276276276276,"BEN",0.134199134199134,0.255411255411255,0.144015744265934,0.540412388179855
"97",2009-05-21,1.14315569487983,0.916366366366366,"BEN",0.770562770562771,0.402597402597403,0.892466584996612,0.180773368576397
"98",2009-05-22,1.13479623824451,0.92972972972973,"BEN",0.376623376623377,0.705627705627706,0.200115534693418,0.843628039132502
"99",2009-05-26,1.18390804597701,0.967267267267267,"BEN",0.917748917748918,0.831168831168831,0.874834819091581,0.476547715401992
"100",2009-05-27,1.17032392894462,0.931381381381381,"BEN",0.316017316017316,0.181818181818182,0.549949084581451,0.178773198445087
"101",2009-05-28,1.12434691745037,0.967567567567568,"BEN",0.108225108225108,0.831168831168831,0.0121834023617164,0.982898743050476
"102",2009-05-29,1.07105538140021,1.00375375375375,"BEN",0.0735930735930736,0.826839826839827,0.00629027460184017,0.986798354257962
"103",2009-06-01,1.08254963427377,1.06876876876877,"BEN",0.67965367965368,0.930735930735931,0.214304954309519,0.96326828317744
