"","X1","HT","AIN","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.381756756756757,0.381419939577039,"AIN",0.350649350649351,0.523809523809524,0.258364431755359,0.685041099383909
"47",2009-03-11,0.442567567567568,0.393504531722054,"AIN",0.978354978354978,0.87012987012987,0.976534296907349,0.292153513314318
"48",2009-03-12,0.469594594594595,0.435045317220544,"AIN",0.913419913419913,0.982683982683983,0.350340202085148,0.969563100428134
"49",2009-03-13,0.432432432432432,0.459214501510574,NA,0.0692640692640693,0.956709956709957,0.011141869299087,0.993618124305938
"50",2009-03-16,0.486486486486486,0.47809667673716,NA,0.956709956709957,0.904761904761905,0.895682783219222,0.51152241983332
"51",2009-03-17,0.506756756756757,0.498489425981873,NA,0.878787878787879,0.913419913419913,0.607258250183969,0.799933189853303
"52",2009-03-18,0.506756756756757,0.533987915407855,NA,0.545454545454545,0.96969696969697,0.0987402841699561,0.993878239229493
"53",2009-03-19,0.503378378378378,0.551359516616314,NA,0.445887445887446,0.878787878787879,0.120173192910199,0.962108624010635
"54",2009-03-20,0.483108108108108,0.573262839879154,NA,0.177489177489178,0.904761904761905,0.0286046560460777,0.985356567599348
"55",2009-03-23,0.506756756756757,0.602719033232628,NA,0.891774891774892,0.939393939393939,0.552790733043056,0.858069346917017
"56",2009-03-24,0.513513513513513,0.605740181268882,NA,0.727272727272727,0.627705627705628,0.725070475912486,0.446516405238429
"57",2009-03-25,0.601351351351351,0.630664652567976,NA,0.982683982683983,0.904761904761905,0.973589128992337,0.328429076579063
"58",2009-03-26,0.70945945945946,0.697885196374622,NA,0.982683982683983,0.982683982683983,0.77406334367884,0.77406334367884
"59",2009-03-27,0.641891891891892,0.6797583081571,NA,0.0476190476190476,0.207792207792208,0.0399518927591309,0.709163364698393
"60",2009-03-30,0.641891891891892,0.671450151057402,NA,0.545454545454545,0.350649350649351,0.712530059822964,0.241881944244294
"61",2009-03-31,0.641891891891892,0.683534743202417,NA,0.545454545454545,0.766233766233766,0.28858080379789,0.839616528657334
"62",2009-04-01,0.652027027027027,0.68429003021148,NA,0.757575757575758,0.593073593073593,0.79822359501181,0.358581356360208
"63",2009-04-02,0.675675675675676,0.70166163141994,NA,0.857142857142857,0.826839826839827,0.739085186225869,0.612215054220294
"64",2009-04-03,0.777027027027027,0.714501510574018,NA,0.978354978354978,0.766233766233766,0.990385254407522,0.180216146037817
"65",2009-04-06,0.810810810810811,0.678247734138973,"AIN",0.878787878787879,0.0865800865800866,0.981790445630342,0.0125049061505312
"66",2009-04-07,0.77027027027027,0.615558912386707,"AIN",0.151515151515152,0.0303030303030303,0.695142309283431,0.0315284285129912
"67",2009-04-08,0.793918918918919,0.600453172205438,"AIN",0.835497835497836,0.220779220779221,0.966667790513996,0.0446454115219937
"68",2009-04-09,0.851351351351351,0.66012084592145,"AIN",0.917748917748918,0.978354978354978,0.403361580628995,0.953881403796005
"69",2009-04-13,0.905405405405405,0.668429003021148,"AIN",0.913419913419913,0.722943722943723,0.932894526765912,0.299562182069828
"70",2009-04-14,0.929054054054054,0.669939577039275,"AIN",0.813852813852814,0.597402597402597,0.867765282407458,0.297724503778173
"71",2009-04-15,1.01351351351351,0.72809667673716,"AIN",0.939393939393939,0.974025974025974,0.529387420606666,0.908578503323009
"72",2009-04-16,0.996621621621622,0.734894259818731,"AIN",0.359307359307359,0.670995670995671,0.170406974977296,0.84064928168631
"73",2009-04-17,0.986486486486487,0.719033232628399,"AIN",0.411255411255411,0.264069264069264,0.622134745057687,0.228727118424098
"74",2009-04-20,0.85472972972973,0.653323262839879,"AIN",0.0216450216450216,0.0303030303030303,0.164762967486626,0.315397083801533
"75",2009-04-21,0.847972972972973,0.708459214501511,"AIN",0.428571428571429,0.974025974025974,0.0674404274212028,0.996297254493188
"76",2009-04-22,0.881756756756757,0.708459214501511,"AIN",0.865800865800866,0.567099567099567,0.93196669896799,0.209717480338243
"77",2009-04-23,0.878378378378378,0.690332326283988,"AIN",0.476190476190476,0.207792207792208,0.759969149886145,0.121441610320651
"78",2009-04-24,0.908783783783784,0.728851963746224,"AIN",0.852813852813853,0.956709956709957,0.374101554292209,0.942630166510001
"79",2009-04-27,0.932432432432432,0.685045317220544,"AIN",0.813852813852814,0.0649350649350649,0.971018297353288,0.0091166834200184
"80",2009-04-28,0.972972972972973,0.702416918429003,"AIN",0.878787878787879,0.826839826839827,0.789966747220489,0.564467686478682
"81",2009-04-29,1.10472972972973,0.741691842900302,"AIN",0.974025974025974,0.956709956709957,0.861869820080803,0.62868299101763
"82",2009-04-30,1.23310810810811,0.700906344410876,"AIN",0.956709956709957,0.0735930735930736,0.99371246674576,0.011777672023633
"83",2009-05-01,1.125,0.727341389728097,"AIN",0.0562770562770563,0.887445887445887,0.00769945973848911,0.98294482967929
"84",2009-05-04,1.24662162162162,0.768882175226586,"AIN",0.956709956709957,0.956709956709957,0.750769301411265,0.750769301411265
"85",2009-05-05,1.23310810810811,0.836102719033233,"AIN",0.402597402597403,0.974025974025974,0.0624565455959522,0.996465018191387
