,KRNY,TR
2008-07-15,0.9206484641638224,0.9864024864024865
2008-07-16,0.9658703071672354,1.0101010101010102
2008-07-17,0.9940273037542662,1.0314685314685315
2008-07-18,0.9897610921501706,1.0376845376845378
2008-07-21,0.9965870307167235,1.0295260295260296
2008-07-22,1.0648464163822526,1.0555555555555556
2008-07-23,1.061433447098976,1.0792540792540795
2008-07-24,1.052901023890785,1.0862470862470863
2008-07-25,1.0674061433447097,1.1266511266511268
2008-07-28,1.0639931740614335,1.0714840714840714
2008-07-29,1.0836177474402728,1.0710955710955712
2008-07-30,1.0964163822525597,1.0361305361305362
2008-07-31,1.0964163822525597,1.0159285159285159
2008-08-01,1.0964163822525597,1.0345765345765345
2008-08-04,1.0793515358361774,1.0722610722610724
2008-08-05,1.0844709897610922,1.104895104895105
