"","X1","AIV","LNC","long_distance","Fx","Fy","MI_X","MI_Y"
"106",2009-06-04,0.928694158075601,0.96140350877193,"AIV",0.896103896103896,0.891774891774892,0.703394183230843,0.67200621078071
"107",2009-06-05,0.920103092783505,0.980952380952381,"AIV",0.424242424242424,0.774891774891775,0.136592508872658,0.922210847101846
"108",2009-06-08,0.932989690721649,0.968421052631579,"AIV",0.649350649350649,0.385281385281385,0.836697229108504,0.17580755506153
"109",2009-06-09,0.93127147766323,0.934335839598998,"AIV",0.502164502164502,0.168831168831169,0.847563887468083,0.0585435502308354
"110",2009-06-10,0.905498281786941,0.921303258145363,"AIV",0.25974025974026,0.372294372294372,0.231792405392496,0.60451788200647
"111",2009-06-11,0.888316151202749,0.949874686716792,"AIV",0.311688311688312,0.826839826839827,0.0674519074760807,0.963783533099438
"112",2009-06-12,0.938144329896907,0.889724310776942,NA,0.878787878787879,0.103896103896104,0.979768177555976,0.0166027898674016
"113",2009-06-15,0.84020618556701,0.793483709273183,NA,0.0649350649350649,0.0692640692640693,0.271114093792409,0.317237405910542
"114",2009-06-16,0.827319587628866,0.754887218045113,NA,0.359307359307359,0.116883116883117,0.78911448936107,0.0535453250081158
"115",2009-06-17,0.784364261168385,0.7468671679198,NA,0.151515151515152,0.411255411255411,0.0685802677650764,0.794248274859158
"116",2009-06-18,0.782646048109966,0.797994987468672,NA,0.502164502164502,0.913419913419913,0.108026692569807,0.981658670470926
"117",2009-06-19,0.780927835051546,0.845112781954887,NA,0.502164502164502,0.909090909090909,0.110187368027011,0.980090781038895
"118",2009-06-22,0.72766323024055,0.786967418546366,NA,0.121212121212121,0.103896103896104,0.376578964506498,0.25746077527823
"119",2009-06-23,0.732817869415808,0.816541353383459,NA,0.58008658008658,0.844155844155844,0.202754222126142,0.930336627751282
"120",2009-06-24,0.72594501718213,0.823057644110276,NA,0.424242424242424,0.636363636363636,0.227226080049049,0.796771490067756
"121",2009-06-25,0.75,0.833583959899749,NA,0.80952380952381,0.683982683982684,0.829705441683355,0.377989102394388
"122",2009-06-26,0.786941580756014,0.811027568922306,NA,0.861471861471861,0.220779220779221,0.977158576979865,0.0394361041653728
"123",2009-06-29,0.771477663230241,0.856140350877193,NA,0.307359307359307,0.9004329004329,0.0566960072636716,0.984455453338474
"124",2009-06-30,0.760309278350515,0.86265664160401,"AIV",0.38961038961039,0.632034632034632,0.191744393642645,0.816392212631774
"125",2009-07-01,0.771477663230241,0.867669172932331,"AIV",0.658008658008658,0.571428571428571,0.690062899218481,0.416806989742586
