"","X1","VIAB","FOXA","long_distance","Fx","Fy","MI_X","MI_Y"
"44",2009-03-06,0.705524581855043,0.547987616099071,"FOXA",0.865800865800866,0.437229437229437,0.967466836291128,0.0930189478641263
"45",2009-03-09,0.681196147997973,0.514963880288958,"FOXA",0.12987012987013,0.0606060606060606,0.587513883852071,0.106376158729021
"46",2009-03-10,0.736441966548403,0.568627450980392,"FOXA",0.982683982683983,0.978354978354978,0.775037651653531,0.606305284367
"47",2009-03-11,0.73998986315256,0.589267285861713,"FOXA",0.645021645021645,0.887445887445887,0.208983262000998,0.946916104653037
"48",2009-03-12,0.773441459706031,0.603715170278638,"FOXA",0.939393939393939,0.826839826839827,0.943656705074882,0.282801571140134
"49",2009-03-13,0.767866193613786,0.619195046439629,"FOXA",0.385281385281385,0.835497835497836,0.0868677232597007,0.959156369142148
"50",2009-03-16,0.768373035985808,0.620227038183695,"FOXA",0.58008658008658,0.588744588744589,0.538802041781211,0.561578707104602
"51",2009-03-17,0.796756208819057,0.656346749226006,"FOXA",0.909090909090909,0.948051948051948,0.463524598680137,0.866195318143922
"52",2009-03-18,0.837810440952864,0.673890608875129,"FOXA",0.943722943722944,0.83982683982684,0.943668360827799,0.286246066822821
"53",2009-03-19,0.825139381652306,0.641898864809082,"FOXA",0.246753246753247,0.108225108225108,0.65330358081716,0.102492314757133
"54",2009-03-20,0.83476938672073,0.627450980392157,"FOXA",0.748917748917749,0.207792207792208,0.955499022047284,0.0362099317317787
"55",2009-03-23,0.914850481500253,0.696594427244582,"FOXA",0.987012987012987,0.982683982683983,0.795713037567811,0.579891526488844
"56",2009-03-24,0.914343639128231,0.688338493292054,"FOXA",0.567099567099567,0.350649350649351,0.735477712881589,0.225112649102734
"57",2009-03-25,0.921946274708566,0.69969040247678,"FOXA",0.714285714285714,0.766233766233766,0.542627986672134,0.717866456151353
"58",2009-03-26,0.927521540800811,0.725490196078431,"FOXA",0.658008658008658,0.887445887445887,0.221647817013182,0.943374782045643
"59",2009-03-27,0.889001520527116,0.716202270381837,"FOXA",0.0909090909090909,0.337662337662338,0.0421447257809342,0.812755594719426
"60",2009-03-30,0.874809934110492,0.668730650154799,"FOXA",0.242424242424242,0.0562770562770563,0.812829901459435,0.0306277212622385
"61",2009-03-31,0.880892042574759,0.683178534571724,"FOXA",0.675324675324675,0.796536796536797,0.420979394311494,0.810836744644697
"62",2009-04-01,0.92295995945261,0.718266253869969,"FOXA",0.943722943722944,0.930735930735931,0.76735690681312,0.608988338659314
"63",2009-04-02,0.978205778003041,0.777089783281734,"FOXA",0.965367965367965,0.965367965367965,0.694639201986965,0.694639201986965
"64",2009-04-03,1.00050684237202,0.804953560371517,"FOXA",0.826839826839827,0.887445887445887,0.496721537954572,0.825389242702564
"65",2009-04-06,0.944247339077547,0.780185758513932,"FOXA",0.0606060606060606,0.151515151515152,0.0826454709787185,0.64498912038548
"66",2009-04-07,0.914850481500253,0.745098039215686,"FOXA",0.147186147186147,0.116883116883117,0.405884903940041,0.242044499365296
"67",2009-04-08,0.933603649265079,0.74922600619195,"FOXA",0.822510822510823,0.658008658008658,0.863219496497973,0.34735817406018
"68",2009-04-09,0.959959452610238,0.807017543859649,"FOXA",0.857142857142857,0.961038961038961,0.223545601759969,0.966196534468189
"69",2009-04-13,0.970603142422706,0.797729618163055,"FOXA",0.74025974025974,0.359307359307359,0.904424173880876,0.125163792290581
"70",2009-04-14,0.965534718702484,0.763673890608875,"FOXA",0.445887445887446,0.116883116883117,0.855324087239795,0.0403990517612761
"71",2009-04-15,0.955397871262038,0.777089783281734,"FOXA",0.346320346320346,0.779220779220779,0.0954322634887542,0.935132294967955
"72",2009-04-16,0.987328940699442,0.821465428276574,"FOXA",0.887445887445887,0.948051948051948,0.380927114633641,0.907743347200727
"73",2009-04-17,0.985301571211353,0.858617131062952,"FOXA",0.528138528138528,0.913419913419913,0.09163187255154,0.981435874635787
"74",2009-04-20,0.934617334009123,0.78328173374613,"FOXA",0.0735930735930736,0.0303030303030303,0.61183672727825,0.0835214515609437
"75",2009-04-21,0.933096806893056,0.800825593395253,"FOXA",0.528138528138528,0.80952380952381,0.213256761557089,0.906935014392648
"76",2009-04-22,0.94272681196148,0.802889576883385,"FOXA",0.735930735930736,0.619047619047619,0.760938300240659,0.426434832676486
"77",2009-04-23,0.942219969589458,0.791537667698658,"FOXA",0.567099567099567,0.32034632034632,0.760523252299599,0.1889121766969
"78",2009-04-24,0.985808413583376,0.819401444788442,"FOXA",0.939393939393939,0.887445887445887,0.878196449876963,0.437325979833796
"79",2009-04-27,0.961986822098327,0.782249742002064,"FOXA",0.173160173160173,0.116883116883117,0.474874529683464,0.1966262004302
"80",2009-04-28,0.961986822098327,0.777089783281734,"FOXA",0.575757575757576,0.454545454545455,0.659004928280694,0.358339170554864
"81",2009-04-29,1.03598580841358,0.841073271413829,"FOXA",0.982683982683983,0.965367965367965,0.895744616928335,0.417519202725964
"82",2009-04-30,0.975164723770907,0.852425180598555,"FOXA",0.051948051948052,0.753246753246753,0.0016369971466169,0.99216736153662
"83",2009-05-01,0.975164723770907,0.864809081527348,"FOXA",0.575757575757576,0.757575757575758,0.333747414522859,0.823902026582382
"84",2009-05-04,1.01520527116067,0.927760577915377,"FOXA",0.935064935064935,0.961038961038961,0.485859105940339,0.855887109040494
"85",2009-05-05,1.02990369994932,0.931888544891641,"FOXA",0.761904761904762,0.640692640692641,0.783856330440633,0.422567821298653
"86",2009-05-06,1.10035478966042,0.975232198142415,"FOXA",0.96969696969697,0.917748917748918,0.940364932873137,0.310544663001993
"87",2009-05-07,1.06994424733908,0.975232198142415,"FOXA",0.16017316017316,0.58008658008658,0.0436530110554402,0.897110601017317
"88",2009-05-08,1.09934110491637,0.996904024767802,"FOXA",0.857142857142857,0.80952380952381,0.776864247556823,0.548350886767291
"89",2009-05-11,1.10339584389255,0.949432404540764,"FOXA",0.632034632034632,0.103896103896104,0.954675377275354,0.0137333408532417
"90",2009-05-12,1.04662949822605,0.924664602683179,"FOXA",0.0735930735930736,0.177489177489178,0.089275157726473,0.64300491972898
"91",2009-05-13,0.975671566142929,0.860681114551084,"FOXA",0.0432900432900433,0.0562770562770563,0.214747756689091,0.386930747054866
"92",2009-05-14,0.990876837303599,0.91124871001032,"FOXA",0.774891774891775,0.948051948051948,0.176695367538233,0.974672253112079
"93",2009-05-15,1.02838317283325,0.887512899896801,"FOXA",0.935064935064935,0.177489177489178,0.997922518281471,0.00532194869658272
"94",2009-05-18,1.08160162189559,0.947368421052632,"FOXA",0.943722943722944,0.956709956709957,0.587984428542425,0.786300675528149
"95",2009-05-19,1.07399898631526,0.949432404540764,"FOXA",0.38961038961039,0.614718614718615,0.238138997376098,0.763491165500208
"96",2009-05-20,1.06791687785099,0.934984520123839,"FOXA",0.437229437229437,0.303030303030303,0.608250048577096,0.257894814726885
"97",2009-05-21,1.04713634059807,0.887512899896801,"FOXA",0.199134199134199,0.0909090909090909,0.620784441770557,0.106870469547852
"98",2009-05-22,1.09477952356817,0.91124871001032,"FOXA",0.939393939393939,0.83982683982684,0.934969720512712,0.307953138289829
"99",2009-05-26,1.14799797263051,0.963880288957688,"FOXA",0.943722943722944,0.948051948051948,0.661770451851653,0.723227957016155
"100",2009-05-27,1.12164216928535,0.95562435500516,"FOXA",0.181818181818182,0.41991341991342,0.108921813167977,0.740310224061821
"101",2009-05-28,1.12062848454131,0.982456140350877,"FOXA",0.558441558441558,0.857142857142857,0.181141163720892,0.941322980683174
"102",2009-05-29,1.12366953877344,1.00928792569659,"FOXA",0.623376623376623,0.848484848484849,0.257124420915387,0.913419017350796
"103",2009-06-01,1.17638114546376,1.07327141382869,"FOXA",0.943722943722944,0.948051948051948,0.661770451851653,0.723227957016155
"104",2009-06-02,1.1885453623923,1.09494324045408,"FOXA",0.735930735930736,0.792207792207792,0.537718436746844,0.740937876104068
"105",2009-06-03,1.15053218449062,1.06707946336429,"FOXA",0.138528138528139,0.177489177489178,0.243302827848696,0.42435232588482
"106",2009-06-04,1.15306639635073,1.05882352941176,"FOXA",0.61038961038961,0.424242424242424,0.732070650204403,0.285446284818949
"107",2009-06-05,1.14698428788647,1.05675954592363,"FOXA",0.445887445887446,0.523809523809524,0.393925737696146,0.589736987058314
"108",2009-06-08,1.16320324379118,1.07533539731682,"FOXA",0.761904761904762,0.779220779220779,0.61391358238373,0.67846539497866
"109",2009-06-09,1.15813482007096,1.07946336429309,"FOXA",0.471861471861472,0.632034632034632,0.330225446730198,0.724580967383612
"110",2009-06-10,1.17232640648758,1.08462332301342,"FOXA",0.757575757575758,0.645021645021645,0.773304059427502,0.43609636617418
"111",2009-06-11,1.20121642169285,1.08359133126935,"FOXA",0.848484848484849,0.545454545454545,0.937212534218626,0.181567299933698
"112",2009-06-12,1.19412062848454,1.07430340557276,"FOXA",0.411255411255411,0.41991341991342,0.440730965601664,0.463230268840236
"113",2009-06-15,1.14647744551445,1.01238390092879,"FOXA",0.0952380952380952,0.0779220779220779,0.376716172579763,0.240223727214575
"114",2009-06-16,1.1226558540294,0.971104231166151,"FOXA",0.19047619047619,0.121212121212121,0.503401624288352,0.182539962083096
"115",2009-06-17,1.13076533198175,0.970072239422085,"FOXA",0.683982683982684,0.545454545454545,0.741524611514379,0.380718126419994
"116",2009-06-18,1.17181956411556,0.968008255933953,"FOXA",0.904761904761905,0.523809523809524,0.977762840620688,0.0995167262295837
"117",2009-06-19,1.18043588443994,0.984520123839009,"FOXA",0.683982683982684,0.770562770562771,0.48055208530022,0.759001707584974
"118",2009-06-22,1.11201216421693,0.933952528379773,"FOXA",0.0562770562770563,0.0909090909090909,0.162132648651528,0.475304127702192
"119",2009-06-23,1.11657374556513,0.936016511867905,"FOXA",0.645021645021645,0.614718614718615,0.617505452563059,0.534234436919488
"120",2009-06-24,1.10390268626457,0.927760577915377,"FOXA",0.333333333333333,0.411255411255411,0.326485709930963,0.533948663621992
"121",2009-06-25,1.13076533198175,0.944272445820434,"FOXA",0.844155844155844,0.779220779220779,0.791671880424251,0.51326163745617
"122",2009-06-26,1.13786112519007,0.939112487100103,"FOXA",0.666666666666667,0.476190476190476,0.768062024732603,0.303058867018154
"123",2009-06-29,1.18601115053218,0.956656346749226,"FOXA",0.939393939393939,0.779220779220779,0.964106053699205,0.212753719370394
"124",2009-06-30,1.15053218449062,0.940144478844169,"FOXA",0.155844155844156,0.277056277056277,0.160407307046943,0.587032127810756
"125",2009-07-01,1.15712113532691,0.956656346749226,"FOXA",0.658008658008658,0.779220779220779,0.422653360512889,0.797157031677645
