,EMR,OKE
2008-07-15,0.9272309459977021,0.9631722117597824
2008-07-16,0.9368058215243202,0.9585687382297552
2008-07-17,0.9691689008042895,0.9474785519983261
2008-07-18,0.9670624281884336,0.9556392550742834
2008-07-21,0.9689774032937573,0.9719606612261981
2008-07-22,0.9682114132516277,0.9571039966520193
2008-07-23,0.9613175028724628,0.9510357815442562
2008-07-24,0.9463806970509384,0.9460138104205901
2008-07-25,0.9542320949827652,0.939945595312827
2008-07-28,0.9375718115664496,0.9451768152333124
2008-07-29,0.9613175028724628,0.9365976145637163
2008-07-30,0.9754883186518575,0.9614982213852271
2008-07-31,0.9325928762926082,0.9516635279347143
2008-08-01,0.9270394484871696,0.941410336890563
2008-08-04,0.9159325928762926,0.9332496338146056
2008-08-05,0.9122941401761777,0.9481062983887844
